HHID,person_num,AGE,SEX,pemploy,pstudent,ptype,value_of_time,PERID
1,0,36,1,1,3,1,3.095673076923077,1
1,1,37,1,2,3,2,3.095673076923077,2
2,0,36,1,1,3,1,3.095673076923077,3
2,1,37,1,2,3,2,3.095673076923077,4
3,0,36,1,1,3,1,3.095673076923077,5
3,1,37,1,2,3,2,3.095673076923077,6
4,0,36,1,1,3,1,3.095673076923077,7
4,1,37,1,2,3,2,3.095673076923077,8
5,0,36,1,1,3,1,3.095673076923077,9
5,1,37,1,2,3,2,3.095673076923077,10
6,0,36,1,1,3,1,8.48125,11
6,1,37,1,2,3,2,8.48125,12
7,0,36,1,1,3,1,8.48125,13
7,1,37,1,2,3,2,8.48125,14
8,0,36,1,1,3,1,8.48125,15
8,1,37,1,2,3,2,8.48125,16
9,0,36,1,1,3,1,8.48125,17
9,1,37,1,2,3,2,8.48125,18
10,0,36,1,1,3,1,8.48125,19
10,1,37,1,2,3,2,8.48125,20
11,0,36,1,1,3,1,14.855528846153845,21
11,1,37,1,2,3,2,14.855528846153845,22
12,0,36,1,1,3,1,14.855528846153845,23
12,1,37,1,2,3,2,14.855528846153845,24
13,0,36,1,1,3,1,14.855528846153845,25
13,1,37,1,2,3,2,14.855528846153845,26
14,0,36,1,1,3,1,14.855528846153845,27
14,1,37,1,2,3,2,14.855528846153845,28
15,0,36,1,1,3,1,14.855528846153845,29
15,1,37,1,2,3,2,14.855528846153845,30
16,0,36,1,1,3,1,29.52403846153846,31
16,1,37,1,2,3,2,29.52403846153846,32
17,0,36,1,1,3,1,29.52403846153846,33
17,1,37,1,2,3,2,29.52403846153846,34
18,0,36,1,1,3,1,29.52403846153846,35
18,1,37,1,2,3,2,29.52403846153846,36
19,0,36,1,1,3,1,29.52403846153846,37
19,1,37,1,2,3,2,29.52403846153846,38
20,0,36,1,1,3,1,29.52403846153846,39
20,1,37,1,2,3,2,29.52403846153846,40
21,0,36,1,1,3,1,3.095673076923077,41
21,1,37,1,2,3,2,3.095673076923077,42
22,0,36,1,1,3,1,3.095673076923077,43
22,1,37,1,2,3,2,3.095673076923077,44
23,0,36,1,1,3,1,3.095673076923077,45
23,1,37,1,2,3,2,3.095673076923077,46
24,0,36,1,1,3,1,3.095673076923077,47
24,1,37,1,2,3,2,3.095673076923077,48
25,0,36,1,1,3,1,3.095673076923077,49
25,1,37,1,2,3,2,3.095673076923077,50
26,0,36,1,1,3,1,8.48125,51
26,1,37,1,2,3,2,8.48125,52
27,0,36,1,1,3,1,8.48125,53
27,1,37,1,2,3,2,8.48125,54
28,0,36,1,1,3,1,8.48125,55
28,1,37,1,2,3,2,8.48125,56
29,0,36,1,1,3,1,8.48125,57
29,1,37,1,2,3,2,8.48125,58
30,0,36,1,1,3,1,8.48125,59
30,1,37,1,2,3,2,8.48125,60
31,0,36,1,1,3,1,14.855528846153845,61
31,1,37,1,2,3,2,14.855528846153845,62
32,0,36,1,1,3,1,14.855528846153845,63
32,1,37,1,2,3,2,14.855528846153845,64
33,0,36,1,1,3,1,14.855528846153845,65
33,1,37,1,2,3,2,14.855528846153845,66
34,0,36,1,1,3,1,14.855528846153845,67
34,1,37,1,2,3,2,14.855528846153845,68
35,0,36,1,1,3,1,14.855528846153845,69
35,1,37,1,2,3,2,14.855528846153845,70
36,0,36,1,1,3,1,29.52403846153846,71
36,1,37,1,2,3,2,29.52403846153846,72
37,0,36,1,1,3,1,29.52403846153846,73
37,1,37,1,2,3,2,29.52403846153846,74
38,0,36,1,1,3,1,29.52403846153846,75
38,1,37,1,2,3,2,29.52403846153846,76
39,0,36,1,1,3,1,29.52403846153846,77
39,1,37,1,2,3,2,29.52403846153846,78
40,0,36,1,1,3,1,29.52403846153846,79
40,1,37,1,2,3,2,29.52403846153846,80
41,0,36,1,1,3,1,3.095673076923077,81
41,1,37,1,2,3,2,3.095673076923077,82
42,0,36,1,1,3,1,3.095673076923077,83
42,1,37,1,2,3,2,3.095673076923077,84
43,0,36,1,1,3,1,3.095673076923077,85
43,1,37,1,2,3,2,3.095673076923077,86
44,0,36,1,1,3,1,3.095673076923077,87
44,1,37,1,2,3,2,3.095673076923077,88
45,0,36,1,1,3,1,3.095673076923077,89
45,1,37,1,2,3,2,3.095673076923077,90
46,0,36,1,1,3,1,8.48125,91
46,1,37,1,2,3,2,8.48125,92
47,0,36,1,1,3,1,8.48125,93
47,1,37,1,2,3,2,8.48125,94
48,0,36,1,1,3,1,8.48125,95
48,1,37,1,2,3,2,8.48125,96
49,0,36,1,1,3,1,8.48125,97
49,1,37,1,2,3,2,8.48125,98
50,0,36,1,1,3,1,8.48125,99
50,1,37,1,2,3,2,8.48125,100
51,0,36,1,1,3,1,14.855528846153845,101
51,1,37,1,2,3,2,14.855528846153845,102
52,0,36,1,1,3,1,14.855528846153845,103
52,1,37,1,2,3,2,14.855528846153845,104
53,0,36,1,1,3,1,14.855528846153845,105
53,1,37,1,2,3,2,14.855528846153845,106
54,0,36,1,1,3,1,14.855528846153845,107
54,1,37,1,2,3,2,14.855528846153845,108
55,0,36,1,1,3,1,14.855528846153845,109
55,1,37,1,2,3,2,14.855528846153845,110
56,0,36,1,1,3,1,29.52403846153846,111
56,1,37,1,2,3,2,29.52403846153846,112
57,0,36,1,1,3,1,29.52403846153846,113
57,1,37,1,2,3,2,29.52403846153846,114
58,0,36,1,1,3,1,29.52403846153846,115
58,1,37,1,2,3,2,29.52403846153846,116
59,0,36,1,1,3,1,29.52403846153846,117
59,1,37,1,2,3,2,29.52403846153846,118
60,0,36,1,1,3,1,29.52403846153846,119
60,1,37,1,2,3,2,29.52403846153846,120
61,0,36,1,1,3,1,3.095673076923077,121
61,1,37,1,2,3,2,3.095673076923077,122
62,0,36,1,1,3,1,3.095673076923077,123
62,1,37,1,2,3,2,3.095673076923077,124
63,0,36,1,1,3,1,3.095673076923077,125
63,1,37,1,2,3,2,3.095673076923077,126
64,0,36,1,1,3,1,3.095673076923077,127
64,1,37,1,2,3,2,3.095673076923077,128
65,0,36,1,1,3,1,3.095673076923077,129
65,1,37,1,2,3,2,3.095673076923077,130
66,0,36,1,1,3,1,8.48125,131
66,1,37,1,2,3,2,8.48125,132
67,0,36,1,1,3,1,8.48125,133
67,1,37,1,2,3,2,8.48125,134
68,0,36,1,1,3,1,8.48125,135
68,1,37,1,2,3,2,8.48125,136
69,0,36,1,1,3,1,8.48125,137
69,1,37,1,2,3,2,8.48125,138
70,0,36,1,1,3,1,8.48125,139
70,1,37,1,2,3,2,8.48125,140
71,0,36,1,1,3,1,14.855528846153845,141
71,1,37,1,2,3,2,14.855528846153845,142
72,0,36,1,1,3,1,14.855528846153845,143
72,1,37,1,2,3,2,14.855528846153845,144
73,0,36,1,1,3,1,14.855528846153845,145
73,1,37,1,2,3,2,14.855528846153845,146
74,0,36,1,1,3,1,14.855528846153845,147
74,1,37,1,2,3,2,14.855528846153845,148
75,0,36,1,1,3,1,14.855528846153845,149
75,1,37,1,2,3,2,14.855528846153845,150
76,0,36,1,1,3,1,29.52403846153846,151
76,1,37,1,2,3,2,29.52403846153846,152
77,0,36,1,1,3,1,29.52403846153846,153
77,1,37,1,2,3,2,29.52403846153846,154
78,0,36,1,1,3,1,29.52403846153846,155
78,1,37,1,2,3,2,29.52403846153846,156
79,0,36,1,1,3,1,29.52403846153846,157
