PUMA,TAZ_NODE,MAZ_NODE,integer_weight,unique_hh_id,SERIALNO,SPORDER,PWGTP,AGEP,COW,MIL,SCHG,SCHL,SEX,WKHP,WKWN,ESR,HISP,PINCP,POWPUMA,INDP,OCCP,occupation,employed,employ_status,student_status,person_type,hhgqtype
101,300002,314661,1,1,2019HU0122301,1,18,21,1.0,4.0,15.0,19.0,2,20.0,32.0,1,1,5500.0,100.0,8570.0,4350.0,3,1,1,2,4,0
101,300002,314661,1,1,2019HU0122301,2,26,22,1.0,4.0,15.0,19.0,2,10.0,21.0,2,1,2100.0,,7390.0,2830.0,2,1,1,2,4,0
101,300002,314661,1,2,2019HU0310720,1,49,70,4.0,4.0,,17.0,2,17.0,52.0,1,1,10700.0,100.0,9480.0,3602.0,3,1,1,3,5,0
101,300002,314661,1,3,2019HU0385456,1,66,27,1.0,4.0,,21.0,1,40.0,52.0,1,1,140000.0,7500.0,7380.0,1021.0,2,1,1,3,4,0
101,300002,314661,1,3,2019HU0385456,2,91,26,1.0,4.0,,21.0,1,40.0,52.0,1,1,150000.0,7500.0,7380.0,1021.0,2,1,1,3,4,0
101,300002,314661,1,3,2019HU0385456,3,69,23,1.0,4.0,,21.0,1,40.0,52.0,1,1,70000.0,7500.0,1280.0,1430.0,2,1,1,3,4,0
101,300002,314661,1,4,2019HU0881842,1,28,49,4.0,4.0,,22.0,2,40.0,52.0,1,1,98000.0,100.0,7870.0,2435.0,2,1,1,3,4,0
101,300002,314661,1,4,2019HU0881842,2,21,48,7.0,4.0,,24.0,1,60.0,52.0,1,1,60000.0,1300.0,7460.0,1610.0,2,1,1,3,4,0
101,300002,314661,1,4,2019HU0881842,3,26,21,1.0,4.0,15.0,21.0,2,20.0,8.0,1,1,1200.0,100.0,7380.0,3646.0,3,1,1,2,4,0
101,300002,314661,1,5,2019HU1053065,1,48,76,,4.0,,22.0,2,,,6,1,13700.0,,,,0,0,3,3,5,0


