control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_balanced_weight,TAZ_integer_weight,MAZ_balanced_weight,MAZ_integer_weight
num_hh,387684,387685.9319206872,387685.9229139913,387684.0,387684.0,387684,387684.0,387705
hh_size_1,88934,86028.77621695536,86041.32639296466,86041.0,86041.0,85933,85933.0,85814
hh_size_2,117880,119104.4699533558,119108.73731079597,119109.0,119109.0,118673,118673.0,118623
hh_size_3,65570,66151.25063451505,66148.43938806391,66150.0,66150.0,66090,66090.0,66060
hh_size_4_plus,115300,116401.43511586101,116387.41982216673,116384.0,116384.0,116988,116988.0,117208
gq_type_univ,1659,1976.1626821028217,1976.30751250529,1974.0,1974.0,1894,1894.0,1758
gq_type_mil,0,0.0,0.0,0.0,0.0,0,0.0,0
gq_type_othnon,3541,3541.508462027357,3541.515433450889,3541.0,3541.0,3501,3501.0,3354
hh_inc_30,86130,1813.6945305938011,1813.8562160729925,1812.0,1812.0,1769,1769.0,1652
hh_inc_30_60,92868,162.46815150902066,162.45129643229757,162.0,162.0,125,125.0,106
hh_inc_60_100,89492,0.0,0.0,0.0,0.0,0,0.0,0
hh_inc_100_plus,113994,0.0,0.0,0.0,0.0,0,0.0,0
hh_wrks_0,90447,854.1717539529743,821.063260136179,820.0,820.0,787,787.0,783
hh_wrks_1,151921,1121.9909281498476,1155.244252369111,1154.0,1154.0,1107,1107.0,975
hh_wrks_2,114810,0.0,0.0,0.0,0.0,0,0.0,0
hh_wrks_3_plus,25306,0.0,0.0,0.0,0.0,0,0.0,0
pers_age_00_19,312729,312726.5842472205,312726.86259349925,312715.0,312715.0,314246,314246.0,314889
pers_age_20_34,202986,202767.745195019,202816.8428076834,202821.0,202821.0,202843,202843.0,203061
pers_age_35_64,479720,480039.15120870085,480297.3807043039,480293.0,480293.0,480844,480844.0,481227
pers_age_65_plus,139509,139689.9542390155,139767.29103629137,139764.0,139764.0,139885,139885.0,139886
hh_kids_yes,143558,143447.02411024887,143445.06778912415,143446.0,143446.0,144047,144047.0,144394
hh_kids_no,238926,238721.2366663082,238723.03217891097,238723.0,238723.0,238242,238242.0,238199
pers_occ_professional,156088,157562.64714571202,155533.61833694135,155531.0,155531.0,155644,155644.0,155799
pers_occ_services,121924,128070.05542352702,120850.21599162425,120850.0,120850.0,120914,120914.0,121040
pers_occ_retail,77033,79029.42564846369,76563.01132483958,76561.0,76561.0,76576,76576.0,76678
pers_occ_manual,109482,117048.68218027583,108833.74359589607,108835.0,108835.0,108870,108870.0,108904
pers_occ_military,587,324.13882858981395,587.2900210218196,586.0,586.0,588,588.0,588
