process,pid,rss,full_rss,uss,event,children,time
MainProcess,12692,95_055_872,95_055_872,64_466_944,pipeline.run before preload_injectables,0,2025/06/05 13:13:21.259518
MainProcess,12692,95_399_936,95_399_936,64_532_480,pipeline.run after preload_injectables,0,2025/06/05 13:13:21.259518
MainProcess,12692,95_428_608,95_428_608,64_532_480,pipeline.run_model input_pre_processor start,0,2025/06/05 13:13:21.275252
MainProcess,12692,253_546_496,253_546_496,222_838_784,pipeline.run_model input_pre_processor finished,0,2025/06/05 13:13:22.383171
MainProcess,12692,285_601_792,285_601_792,255_381_504,pipeline.run after input_pre_processor,0,2025/06/05 13:13:22.825716
MainProcess,12692,285_667_328,285_667_328,255_447_040,pipeline.run_model setup_data_structures start,0,2025/06/05 13:13:22.836170
MainProcess,12692,309_243_904,309_243_904,279_449_600,pipeline.run_model setup_data_structures finished,0,2025/06/05 13:13:23.784791
MainProcess,12692,334_336_000,334_336_000,303_558_656,pipeline.run after setup_data_structures,0,2025/06/05 13:13:24.291892
MainProcess,12692,334_368_768,334_368_768,303_558_656,pipeline.run_model initial_seed_balancing start,0,2025/06/05 13:13:24.306246
MainProcess,12692,334_340_096,334_340_096,304_197_632,pipeline.run_model initial_seed_balancing finished,0,2025/06/05 13:14:37.230285
MainProcess,12692,334_082_048,334_082_048,304_197_632,pipeline.run after initial_seed_balancing,0,2025/06/05 13:14:37.267757
MainProcess,12692,335_089_664,335_089_664,304_197_632,pipeline.run_model meta_control_factoring start,0,2025/06/05 13:14:37.284139
MainProcess,12692,336_293_888,336_293_888,305_860_608,pipeline.run_model meta_control_factoring finished,0,2025/06/05 13:14:37.367887
MainProcess,12692,336_818_176,336_818_176,305_995_776,pipeline.run after meta_control_factoring,0,2025/06/05 13:14:37.431055
MainProcess,12692,336_912_384,336_912_384,305_995_776,pipeline.run_model final_seed_balancing start,0,2025/06/05 13:14:37.446678
MainProcess,12692,337_989_632,337_989_632,307_073_024,pipeline.run_model final_seed_balancing finished,0,2025/06/05 13:16:07.708033
MainProcess,12692,337_846_272,337_846_272,307_392_512,pipeline.run after final_seed_balancing,0,2025/06/05 13:16:07.761123
MainProcess,12692,338_325_504,338_325_504,307_392_512,pipeline.run_model integerize_final_seed_weights start,0,2025/06/05 13:16:07.776829
MainProcess,12692,343_527_424,343_527_424,307_798_016,pipeline.run_model integerize_final_seed_weights finished,0,2025/06/05 13:16:10.768341
MainProcess,12692,342_831_104,342_831_104,307_257_344,pipeline.run after integerize_final_seed_weights,0,2025/06/05 13:16:10.815764
MainProcess,12692,343_310_336,343_310_336,307_257_344,pipeline.run_model sub_balancing.geography=TAZ start,0,2025/06/05 13:16:10.831327
MainProcess,12692,417_673_216,417_673_216,295_124_992,pipeline.run_model sub_balancing.geography=TAZ finished,0,2025/06/05 14:08:54.245192
MainProcess,12692,421_335_040,421_335_040,297_779_200,pipeline.run after sub_balancing.geography=TAZ,0,2025/06/05 14:08:54.730462
MainProcess,12692,421_416_960,421_416_960,297_857_024,pipeline.run_model sub_balancing.geography=MAZ start,0,2025/06/05 14:08:54.746533
MainProcess,1296,95_264_768,95_264_768,64_667_648,pipeline.run before preload_injectables,0,2025/06/05 15:53:48.185242
MainProcess,1296,95_608_832,95_608_832,64_733_184,pipeline.run after preload_injectables,0,2025/06/05 15:53:48.201497
MainProcess,1296,95_641_600,95_641_600,64_737_280,pipeline.run_model input_pre_processor start,0,2025/06/05 15:53:48.217334
MainProcess,1296,253_550_592,253_550_592,222_916_608,pipeline.run_model input_pre_processor finished,0,2025/06/05 15:53:49.323889
