MAZ,TAZ,ACRES,HH,POP,ag,art_rec,constr,eat,ed_high,ed_k12,ed_oth,fire,gov,health,hotel,info,lease,logis,man_bio,man_hvy,man_lgt,man_tech,natres,prof,ret_loc,ret_reg,serv_bus,serv_pers,serv_soc,transp,unclass,util,emp_total,publicEnrollGradeKto8,publicEnrollGrade9to12,privateEnrollGradeKto8,privateEnrollGrade9to12,comm_coll_enroll
10001,56,4.190409354,58,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,8,0,0,0,0,0
10002,56,4.157050157,61,154,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0
10003,10,4.205729875,71,134,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0
10004,53,4.056231251,71,176,0,0,0,0,0,10,0,8,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,27,0,0,0,0,0
10005,48,4.330023772,76,170,0,0,2,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,73,0,0,0,0,0
10006,48,4.283815106,97,189,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0
10007,65,9.805132868,161,280,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,1,0,0,3,0,2,0,2,0,0,0,0,16,0,0,0,0,0
10009,65,4.374996911,41,108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10012,40,25.15184612,383,899,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,10,0,0,0,0,0
10017,583,11.17928468,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,28,0,0,0,0,0,36,0,0,0,0,0
10018,574,7.661495579,0,0,0,0,8,0,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,9,0,78,0,0,129,0,0,0,0,0
10021,618,7.399069896,5,8,0,0,21,59,0,0,0,0,821,0,0,0,0,36,0,0,0,0,0,2,0,0,4,8,0,0,0,0,951,0,0,0,0,0
10022,116,3.551889613,33,85,0,3,86,0,0,0,4,17,0,3,0,0,0,5,0,5,13,0,0,31,40,0,11,111,0,23,3,7,362,0,0,0,0,0
10023,125,1.344993402,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10024,622,4.345097186,47,162,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0
10025,623,4.304819045,34,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0
10030,250,5.472143835,192,405,0,1,1,27,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,9,1,0,0,2,0,0,0,0,53,0,0,0,0,0
10038,363,3.809620298,517,587,0,0,0,46,0,0,0,11,0,0,73,0,0,0,0,0,0,0,0,0,9,3,0,16,14,11,3,0,186,0,0,0,0,0
10039,330,3.700646921,92,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10044,635,3.875103166,50,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10045,635,3.862747908,40,123,0,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
10047,199,6.568302338,59,156,0,7,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,10,0,0,0,42,0,0,0,0,0
10048,636,5.210706573,67,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,6,0,0,0,0,10,0,0,0,0,0
10049,100,3.671241407,54,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10052,453,2.950188541,27,95,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
10053,553,1.902709755,27,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
10054,553,4.296417469,59,229,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,13,1,0
10055,39,6.593012854,79,134,0,0,8,85,0,0,0,0,0,13,0,0,0,0,0,0,20,0,0,11,12,7,0,2,0,0,7,0,165,0,0,0,0,0
10056,288,41.52701107,358,634,0,0,0,54,0,0,0,11,0,0,0,0,0,0,282,0,11,0,0,36,71,5,2,8,0,0,0,0,480,0,0,0,0,0
10060,84,2.745091256,0,0,10,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,2,0,0,0,0,31,0,0,0,0,0
10062,117,4.527955007,48,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,54,0,0,0,0,0
10063,188,5.924840494,25,92,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,11,0,0,0,0,0
10064,294,25.25736003,0,0,0,0,47,2,3,0,0,90,0,62,0,7,22,75,0,5,7,11,0,98,2,14,21,50,65,2,7,15,605,0,0,0,0,0
10065,294,4.793840163,28,86,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,55,250,0,0,0,0
10071,438,7.45812803,50,122,0,0,5,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,13,0,0,3,0,40,0,0,445,0,0
10072,438,3.804183985,32,74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0
10073,461,3.558808558,94,194,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10074,471,3.893636054,96,170,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,59,0,0,0,250,0
10075,471,3.75130348,98,197,0,0,0,4,0,0,43,2,0,153,0,0,0,0,0,0,0,0,0,5,9,0,1,1,0,0,0,0,218,0,0,0,0,0
10076,471,3.947752084,14,37,0,0,0,34,0,0,0,10,0,119,0,0,0,4,0,0,0,0,0,16,12,0,0,18,21,0,11,0,245,0,0,0,0,0
10077,434,3.788616359,97,202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10078,478,3.680878508,0,0,0,4,3,0,0,0,3,0,0,246,0,0,0,0,0,0,1,0,0,5,11,0,7,13,0,0,0,0,293,0,0,0,0,0
