MAZ,maz_seq1,taz_seq1,TAZ,COUNTYFP,mtc_county_id,county_name,COUNTY,region,univ,mil,othnon,popgq,PUMA
222415,13816,1163,200128,85,3,Santa Clara,3,1,2918,0,0,2918,2709
217228,11989,1248,200217,85,3,Santa Clara,3,1,2366,0,1,2367,2701
13562,2069,623,640,75,1,San Francisco,1,1,2152,0,0,2152,2206
12221,1330,474,484,75,1,San Francisco,1,1,2086,0,2,2088,2201
718443,37876,4425,700317,97,8,Sonoma,8,1,1920,0,0,1920,1102
217883,12241,1095,200056,85,3,Santa Clara,3,1,1661,0,0,1661,2701
12153,1285,355,362,75,1,San Francisco,1,1,0,0,1537,1537,2203
323687,22704,2606,300572,1,4,Alameda,4,1,1474,0,55,1529,2401
317246,20473,2606,300572,1,4,Alameda,4,1,1437,0,0,1437,2401
218693,12546,1451,200432,85,3,Santa Clara,3,1,1277,0,0,1277,2703
325125,23141,2563,300527,1,4,Alameda,4,1,1076,0,8,1084,2407
322842,22438,2902,300878,1,4,Alameda,4,1,1047,0,0,1047,2401
410961,26191,3754,400626,13,5,Contra Costa,5,1,947,0,26,973,2104
213024,10099,2003,201040,85,3,Santa Clara,3,1,904,0,0,904,2703
610921,34874,4043,600007,55,7,Napa,7,1,851,0,0,851,1000
317241,20468,2059,300005,1,4,Alameda,4,1,818,0,0,818,2401
224051,14414,1095,200056,85,3,Santa Clara,3,1,805,0,0,805,2701
13087,1826,590,607,75,1,San Francisco,1,1,719,0,0,719,2203
323828,22756,2692,300661,1,4,Alameda,4,1,681,0,7,688,2403
310517,17417,2058,300004,1,4,Alameda,4,1,635,0,0,635,2401
511401,32326,3871,500111,95,6,Solano,6,1,0,628,0,628,1302
315303,19708,2256,300206,1,4,Alameda,4,1,0,585,30,615,2405
418402,28857,3436,400293,13,5,Contra Costa,5,1,571,0,0,571,2104
312681,18514,2058,300004,1,4,Alameda,4,1,544,0,1,545,2401
310526,17421,2397,300351,1,4,Alameda,4,1,483,0,0,483,2401
324802,23045,2284,300235,1,4,Alameda,4,1,0,0,455,455,2402
11476,906,577,593,75,1,San Francisco,1,1,445,0,0,445,2202
17259,4083,332,338,75,1,San Francisco,1,1,0,0,421,421,2203
333242,25568,2168,300116,1,4,Alameda,4,1,0,0,391,391,2402
711445,35995,4181,700049,97,8,Sonoma,8,1,0,390,0,390,1101
213030,10105,1137,200102,85,3,Santa Clara,3,1,0,0,383,383,2710
