MAZ,gq_num_hh,gq_type_univ,gq_type_mil,gq_type_othnon
10001,0.00,0.00,0.00,0.00
10002,0.00,0.00,0.00,0.00
10003,0.00,0.00,0.00,0.00
10004,0.00,0.00,0.00,0.00
10005,0.00,0.00,0.00,0.00
10006,0.00,0.00,0.00,0.00
10007,0.00,0.00,0.00,0.00
10009,0.00,0.00,0.00,0.00
10012,0.00,0.00,0.00,0.00
10017,0.00,0.00,0.00,0.00
10018,0.00,0.00,0.00,0.00
10021,0.00,0.00,0.00,0.00
10022,15.81,0.00,0.00,15.81
10023,0.00,0.00,0.00,0.00
10024,0.00,0.00,0.00,0.00
10025,0.00,0.00,0.00,0.00
10030,0.00,0.00,0.00,0.00
10038,4.16,0.00,0.00,4.16
10039,0.00,0.00,0.00,0.00
10044,0.00,0.00,0.00,0.00
10045,0.00,0.00,0.00,0.00
10047,0.00,0.00,0.00,0.00
10048,0.00,0.00,0.00,0.00
10049,0.00,0.00,0.00,0.00
10052,12.49,0.00,0.00,12.49
10053,0.00,0.00,0.00,0.00
10054,0.00,0.00,0.00,0.00
10055,2.50,0.00,0.00,2.50
10056,0.00,0.00,0.00,0.00
10060,0.83,0.00,0.00,0.83
10062,0.00,0.00,0.00,0.00
10063,0.00,0.00,0.00,0.00
10064,0.00,0.00,0.00,0.00
10065,0.00,0.00,0.00,0.00
10071,0.00,0.00,0.00,0.00
10072,0.00,0.00,0.00,0.00
10073,0.00,0.00,0.00,0.00
10074,0.00,0.00,0.00,0.00
10075,0.00,0.00,0.00,0.00
10076,0.00,0.00,0.00,0.00
10077,0.00,0.00,0.00,0.00
10078,0.00,0.00,0.00,0.00
10079,0.00,0.00,0.00,0.00
10084,13.32,0.00,0.00,13.32
10086,0.00,0.00,0.00,0.00
10087,0.83,0.00,0.00,0.83
10094,0.00,0.00,0.00,0.00
10098,0.00,0.00,0.00,0.00
10099,0.00,0.00,0.00,0.00
10101,0.00,0.00,0.00,0.00
10102,0.00,0.00,0.00,0.00
10104,0.00,0.00,0.00,0.00
10107,0.00,0.00,0.00,0.00
10109,18.31,0.00,0.00,18.31
10110,0.00,0.00,0.00,0.00
10111,0.00,0.00,0.00,0.00
10112,0.00,0.00,0.00,0.00
10114,0.00,0.00,0.00,0.00
10116,0.00,0.00,0.00,0.00
10117,0.00,0.00,0.00,0.00
10119,0.00,0.00,0.00,0.00
10122,0.00,0.00,0.00,0.00
10123,0.00,0.00,0.00,0.00
10124,0.00,0.00,0.00,0.00
10125,0.00,0.00,0.00,0.00
10127,0.83,0.00,0.00,0.83
10128,0.00,0.00,0.00,0.00
10130,0.00,0.00,0.00,0.00
10133,0.00,0.00,0.00,0.00
10137,24.97,0.00,0.00,24.97
10138,0.00,0.00,0.00,0.00
10140,0.00,0.00,0.00,0.00
10141,0.00,0.00,0.00,0.00
10142,0.00,0.00,0.00,0.00
10143,0.00,0.00,0.00,0.00
10144,6.66,0.00,0.00,6.66
10147,4.16,0.00,0.00,4.16
10150,0.00,0.00,0.00,0.00
10151,0.00,0.00,0.00,0.00
10153,0.00,0.00,0.00,0.00
10157,0.00,0.00,0.00,0.00
10159,1.66,0.00,0.00,1.66
10160,0.00,0.00,0.00,0.00
10161,0.00,0.00,0.00,0.00
10162,0.00,0.00,0.00,0.00
10163,0.00,0.00,0.00,0.00
10164,0.00,0.00,0.00,0.00
10165,0.00,0.00,0.00,0.00
10167,0.00,0.00,0.00,0.00
10168,0.00,0.00,0.00,0.00
10169,0.00,0.00,0.00,0.00
10170,1.66,0.00,0.00,1.66
10172,0.00,0.00,0.00,0.00
10173,0.00,0.00,0.00,0.00
10179,0.00,0.00,0.00,0.00
10180,0.00,0.00,0.00,0.00
10181,0.00,0.00,0.00,0.00
10184,0.00,0.00,0.00,0.00
10185,0.00,0.00,0.00,0.00
10186,0.00,0.00,0.00,0.00
10187,0.00,0.00,0.00,0.00
10190,0.00,0.00,0.00,0.00
10192,0.00,0.00,0.00,0.00
10193,0.00,0.00,0.00,0.00
10194,0.00,0.00,0.00,0.00
10195,19.14,0.00,0.00,19.14
10197,0.00,0.00,0.00,0.00
10198,0.00,0.00,0.00,0.00
10200,0.00,0.00,0.00,0.00
10201,0.00,0.00,0.00,0.00
10202,0.00,0.00,0.00,0.00
10203,0.00,0.00,0.00,0.00
10204,0.00,0.00,0.00,0.00
10206,0.00,0.00,0.00,0.00
10207,0.00,0.00,0.00,0.00
10208,0.00,0.00,0.00,0.00
10209,0.00,0.00,0.00,0.00
10210,0.00,0.00,0.00,0.00
10211,0.00,0.00,0.00,0.00
10212,0.00,0.00,0.00,0.00
10213,0.00,0.00,0.00,0.00
10214,0.00,0.00,0.00,0.00
10215,0.00,0.00,0.00,0.00
10218,0.00,0.00,0.00,0.00
10219,127.35,14.15,0.00,113.20
10222,2.50,0.00,0.00,2.50
10223,0.00,0.00,0.00,0.00
10224,0.00,0.00,0.00,0.00
10225,0.00,0.00,0.00,0.00
10226,0.00,0.00,0.00,0.00
10227,0.00,0.00,0.00,0.00
10228,0.00,0.00,0.00,0.00
10229,0.00,0.00,0.00,0.00
10230,0.00,0.00,0.00,0.00
10231,0.00,0.00,0.00,0.00
10232,0.00,0.00,0.00,0.00
10233,0.00,0.00,0.00,0.00
10234,0.00,0.00,0.00,0.00
10235,0.00,0.00,0.00,0.00
10236,0.00,0.00,0.00,0.00
10241,0.00,0.00,0.00,0.00
10242,0.00,0.00,0.00,0.00
10247,0.00,0.00,0.00,0.00
10248,0.00,0.00,0.00,0.00
10249,0.00,0.00,0.00,0.00
10250,0.00,0.00,0.00,0.00
10251,0.00,0.00,0.00,0.00
10252,4.99,0.00,0.00,4.99
10253,2.50,0.00,0.00,2.50
10254,0.00,0.00,0.00,0.00
10255,0.00,0.00,0.00,0.00
10256,0.00,0.00,0.00,0.00
10257,0.00,0.00,0.00,0.00
10258,0.00,0.00,0.00,0.00
10259,1.66,0.00,0.00,1.66
10260,0.00,0.00,0.00,0.00
10261,4.99,0.00,0.00,4.99
10262,0.00,0.00,0.00,0.00
10263,0.00,0.00,0.00,0.00
10265,0.00,0.00,0.00,0.00
10266,0.00,0.00,0.00,0.00
10268,3.33,0.00,0.00,3.33
10269,4.99,0.00,0.00,4.99
10270,0.00,0.00,0.00,0.00
10271,33.29,0.00,0.00,33.29
10272,22.47,0.00,0.00,22.47
10273,0.83,0.00,0.00,0.83
10274,0.00,0.00,0.00,0.00
10275,0.00,0.00,0.00,0.00
