MAZ,TAZ,PUMA,COUNTY,county_name,REGION
10001,56,02204,1,San Francisco,1
10002,56,02204,1,San Francisco,1
10003,10,02204,1,San Francisco,1
10004,53,02204,1,San Francisco,1
10005,48,02204,1,San Francisco,1
10006,48,02204,1,San Francisco,1
10007,65,02204,1,San Francisco,1
10009,65,02204,1,San Francisco,1
10012,40,02206,1,San Francisco,1
10017,583,02207,1,San Francisco,1
10018,574,02203,1,San Francisco,1
10021,618,02207,1,San Francisco,1
10022,116,02207,1,San Francisco,1
10023,125,02204,1,San Francisco,1
10024,622,02207,1,San Francisco,1
10025,623,02207,1,San Francisco,1
10030,250,02201,1,San Francisco,1
10038,363,02203,1,San Francisco,1
10039,330,02207,1,San Francisco,1
10044,635,02206,1,San Francisco,1
10045,635,02206,1,San Francisco,1
10047,199,02206,1,San Francisco,1
10048,636,02206,1,San Francisco,1
10049,100,02207,1,San Francisco,1
10052,453,02206,1,San Francisco,1
10053,553,02207,1,San Francisco,1
10054,553,02207,1,San Francisco,1
10055,39,02203,1,San Francisco,1
10056,288,02203,1,San Francisco,1
10060,84,02203,1,San Francisco,1
10062,117,02207,1,San Francisco,1
10063,188,02207,1,San Francisco,1
10064,294,02207,1,San Francisco,1
10065,294,02207,1,San Francisco,1
10071,438,02202,1,San Francisco,1
10072,438,02202,1,San Francisco,1
10073,461,02202,1,San Francisco,1
10074,471,02201,1,San Francisco,1
10075,471,02201,1,San Francisco,1
10076,471,02201,1,San Francisco,1
10077,434,02202,1,San Francisco,1
10078,478,02201,1,San Francisco,1
10079,398,02202,1,San Francisco,1
10084,366,02202,1,San Francisco,1
10086,404,02203,1,San Francisco,1
10087,401,02202,1,San Francisco,1
10094,420,02205,1,San Francisco,1
10098,490,02205,1,San Francisco,1
10099,489,02205,1,San Francisco,1
10101,281,02205,1,San Francisco,1
10102,491,02205,1,San Francisco,1
10104,6,02204,1,San Francisco,1
10107,563,02204,1,San Francisco,1
10109,570,02204,1,San Francisco,1
10110,20,02203,1,San Francisco,1
10111,21,02203,1,San Francisco,1
10112,18,02203,1,San Francisco,1
10114,52,02204,1,San Francisco,1
10116,52,02204,1,San Francisco,1
10117,535,02206,1,San Francisco,1
10119,454,02206,1,San Francisco,1
10122,42,02207,1,San Francisco,1
10123,619,02207,1,San Francisco,1
10124,98,02207,1,San Francisco,1
10125,98,02207,1,San Francisco,1
10127,38,02203,1,San Francisco,1
10128,419,02203,1,San Francisco,1
10130,188,02207,1,San Francisco,1
10133,143,02205,1,San Francisco,1
10137,361,02203,1,San Francisco,1
10138,564,02203,1,San Francisco,1
10140,1,02204,1,San Francisco,1
10141,522,02201,1,San Francisco,1
10142,522,02201,1,San Francisco,1
10143,379,02201,1,San Francisco,1
10144,568,02203,1,San Francisco,1
10147,584,02201,1,San Francisco,1
10150,430,02202,1,San Francisco,1
10151,365,02202,1,San Francisco,1
10153,371,02202,1,San Francisco,1
10157,388,02202,1,San Francisco,1
10159,581,02203,1,San Francisco,1
10160,426,02202,1,San Francisco,1
10161,426,02202,1,San Francisco,1
10162,427,02202,1,San Francisco,1
10163,431,02202,1,San Francisco,1
10164,364,02202,1,San Francisco,1
10165,366,02202,1,San Francisco,1
10167,430,02202,1,San Francisco,1
10168,6,02204,1,San Francisco,1
10169,11,02204,1,San Francisco,1
10170,6,02204,1,San Francisco,1
10172,1,02204,1,San Francisco,1
10173,3,02204,1,San Francisco,1
10179,420,02205,1,San Francisco,1
10180,420,02205,1,San Francisco,1
10181,446,02205,1,San Francisco,1
10184,52,02204,1,San Francisco,1
10185,592,02202,1,San Francisco,1
10186,592,02202,1,San Francisco,1
10187,454,02206,1,San Francisco,1
10190,197,02207,1,San Francisco,1
10192,314,02207,1,San Francisco,1
10193,152,02204,1,San Francisco,1
10194,186,02207,1,San Francisco,1
10195,156,02207,1,San Francisco,1
10197,315,02207,1,San Francisco,1
10198,317,02207,1,San Francisco,1
10200,476,02201,1,San Francisco,1
10201,302,02205,1,San Francisco,1
10202,646,02204,1,San Francisco,1
10203,128,02206,1,San Francisco,1
10204,128,02206,1,San Francisco,1
10206,208,02205,1,San Francisco,1
10207,210,02205,1,San Francisco,1
10208,209,02205,1,San Francisco,1
10209,209,02205,1,San Francisco,1
10210,545,02201,1,San Francisco,1
10211,544,02201,1,San Francisco,1
10212,543,02201,1,San Francisco,1
10213,333,02201,1,San Francisco,1
10214,333,02201,1,San Francisco,1
10215,264,02201,1,San Francisco,1
