MAZ,num_hh,total_pop,gq_pop,gq_military,gq_university,gq_other,numhh_gq
10001.0,62,130,0,0,0,0,62
10002.0,72,157,0,0,0,0,72
10003.0,78,112,0,0,0,0,78
10004.0,81,168,0,0,0,0,81
10005.0,70,161,0,0,0,0,70
10006.0,108,195,0,0,0,0,108
10007.0,196,373,0,0,0,0,196
10009.0,45,119,0,0,0,0,45
10012.0,341,660,0,0,0,0,341
10017.0,0,0,0,0,0,0,0
10018.0,0,45,0,0,0,0,0
10021.0,10,69,40,0,0,40,50
10022.0,36,127,19,0,0,19,55
10023.0,16,32,0,0,0,0,16
10024.0,61,159,0,0,0,0,61
10025.0,33,102,0,0,0,0,33
10030.0,216,406,0,0,0,0,216
10038.0,700,896,128,0,0,128,828
10039.0,97,276,0,0,0,0,97
10044.0,57,163,0,0,0,0,57
10045.0,61,173,0,0,0,0,61
10047.0,63,149,0,0,0,0,63
10048.0,82,299,0,0,0,0,82
10049.0,71,211,0,0,0,0,71
10052.0,25,103,0,0,0,0,25
10053.0,31,160,11,0,0,11,42
10054.0,62,219,0,0,0,0,62
10055.0,59,84,5,0,0,5,64
10056.0,468,839,0,0,0,0,468
10060.0,0,0,0,0,0,0,0
10062.0,54,152,0,0,0,0,54
10063.0,34,115,0,0,0,0,34
10064.0,0,0,0,0,0,0,0
10065.0,8,85,0,0,0,0,8
10071.0,38,107,0,0,0,0,38
10072.0,35,69,0,0,0,0,35
10073.0,79,170,0,0,0,0,79
10074.0,148,194,0,0,0,0,148
10075.0,118,286,103,0,0,103,221
10076.0,11,14,0,0,0,0,11
10077.0,102,192,0,0,0,0,102
10078.0,1,27,0,0,0,0,1
10079.0,284,581,0,0,0,0,284
10084.0,48,182,14,0,0,14,62
10086.0,0,0,0,0,0,0,0
10087.0,0,7,7,0,0,7,7
10094.0,100,221,0,0,0,0,100
10098.0,97,230,0,0,0,0,97
10099.0,75,179,0,0,0,0,75
10101.0,70,183,0,0,0,0,70
10102.0,102,250,0,0,0,0,102
10104.0,44,82,0,0,0,0,44
10107.0,97,210,1,0,0,1,98
10109.0,101,185,9,0,0,9,110
10110.0,342,685,0,0,0,0,342
10111.0,164,317,0,0,0,0,164
10112.0,132,248,0,0,0,0,132
10114.0,84,192,0,0,0,0,84
10116.0,114,195,0,0,0,0,114
10117.0,423,910,0,0,0,0,423
10119.0,94,286,0,0,0,0,94
10122.0,117,378,0,0,0,0,117
10123.0,0,8,8,0,0,8,8
10124.0,25,76,0,0,0,0,25
10125.0,57,205,11,0,0,11,68
10127.0,200,274,0,0,0,0,200
10128.0,339,620,0,0,0,0,339
10130.0,0,0,0,0,0,0,0
10133.0,73,191,0,0,0,0,73
10137.0,248,405,22,0,0,22,270
10138.0,443,638,13,0,0,13,456
10140.0,181,283,0,0,0,0,181
10141.0,121,253,13,0,0,13,134
10142.0,169,283,0,0,0,0,169
10143.0,185,291,0,0,0,0,185
10144.0,4,44,21,0,0,21,25
10147.0,548,1455,0,0,0,0,548
10150.0,73,129,0,0,0,0,73
10151.0,0,0,0,0,0,0,0
10153.0,0,0,0,0,0,0,0
10157.0,154,266,0,0,0,0,154
10159.0,4,30,1,0,0,1,5
10160.0,172,243,0,0,0,0,172
10161.0,155,223,0,0,0,0,155
10162.0,185,245,0,0,0,0,185
10163.0,106,136,0,0,0,0,106
10164.0,73,142,0,0,0,0,73
10165.0,144,224,0,0,0,0,144
10167.0,178,294,0,0,0,0,178
10168.0,95,201,0,0,0,0,95
10169.0,68,134,0,0,0,0,68
10170.0,0,5,5,0,0,5,5
10172.0,211,364,0,0,0,0,211
10173.0,113,167,0,0,0,0,113
10179.0,188,292,0,0,0,0,188
10180.0,62,140,0,0,0,0,62
10181.0,64,92,0,0,0,0,64
10184.0,36,78,0,0,0,0,36
10185.0,2,68,68,68,0,0,70
10186.0,0,0,0,0,0,0,0
10187.0,133,278,0,0,0,0,133
10190.0,73,188,0,0,0,0,73
10192.0,42,130,0,0,0,0,42
10193.0,58,148,0,0,0,0,58
10194.0,40,112,0,0,0,0,40
10195.0,51,141,11,0,0,11,62
10197.0,58,157,0,0,0,0,58
10198.0,89,271,0,0,0,0,89
10200.0,131,191,0,0,0,0,131
10201.0,44,91,0,0,0,0,44
10202.0,97,209,0,0,0,0,97
10203.0,21,47,0,0,0,0,21
10204.0,46,107,0,0,0,0,46
10206.0,57,149,0,0,0,0,57
10207.0,61,136,0,0,0,0,61
10208.0,54,147,0,0,0,0,54
10209.0,64,190,0,0,0,0,64
10210.0,187,389,0,0,0,0,187
10211.0,100,212,0,0,0,0,100
10212.0,109,234,0,0,0,0,109
10213.0,74,159,0,0,0,0,74
10214.0,106,229,0,0,0,0,106
10215.0,215,386,0,0,0,0,215
10218.0,73,110,0,0,0,0,73
10219.0,721,2195,111,0,0,111,832
10222.0,0,14,14,0,0,14,14
10223.0,89,213,0,0,0,0,89
10224.0,58,155,0,0,0,0,58
10225.0,72,189,7,0,0,7,79
10226.0,51,163,0,0,0,0,51
10227.0,52,157,0,0,0,0,52
10228.0,61,135,0,0,0,0,61
