MAZ,num_hh,hh_size_1,hh_size_2,hh_size_3,hh_size_4_plus
10001,62,27,26,5,4
10002,64,16,24,14,10
10003,72,26,36,5,5
10004,68,19,24,13,12
10005,71,24,28,9,10
10006,88,38,32,12,6
10007,187,93,58,33,3
10009,34,9,10,8,7
10012,297,88,107,65,37
10017,0,0,0,0,0
10018,0,0,0,0,0
10021,6,3,1,1,1
10022,32,11,11,3,7
10023,8,4,1,2,1
10024,51,12,10,5,24
10025,30,7,4,8,11
10030,188,77,66,23,22
10038,603,552,35,10,6
10039,76,14,19,6,37
10044,46,14,5,6,21
10045,53,11,16,9,17
10047,54,17,15,9,13
10048,66,7,19,15,25
10049,64,10,12,12,30
10052,27,2,10,3,12
10053,22,3,3,2,14
10054,58,9,8,9,32
10055,10,5,3,2,0
10056,87,33,43,10,1
10060,0,0,0,0,0
10062,44,15,12,4,13
10063,24,4,3,6,11
10064,0,0,0,0,0
10065,22,4,7,4,7
10071,42,15,9,11,7
10072,31,6,18,3,4
10073,83,38,25,11,9
10074,104,49,43,7,5
10075,98,46,29,13,10
10076,7,1,3,2,1
10077,76,37,22,6,11
10078,0,0,0,0,0
10079,263,84,86,49,44
10084,109,58,29,5,17
10086,0,0,0,0,0
10087,0,0,0,0,0
10094,97,30,49,13,5
10098,95,25,29,19,22
10099,68,8,28,17,15
10101,60,10,14,12,24
10102,93,20,33,16,24
10104,38,14,17,6,1
10107,70,20,29,10,11
10109,88,28,37,14,9
10110,282,110,66,47,59
10111,137,40,50,25,22
10112,121,54,41,15,11
10114,79,31,29,10,9
10116,90,40,32,14,4
10117,361,95,115,71,80
10119,77,12,14,14,37
10122,99,19,12,16,52
10123,0,0,0,0,0
10124,21,2,4,5,10
10125,47,9,12,9,17
10127,109,50,54,5,0
10128,337,146,136,28,27
10130,0,0,0,0,0
10133,63,13,18,11,21
10137,221,163,43,9,6
10138,143,113,25,4,1
10140,153,79,48,17,9
10141,104,32,36,20,16
10142,153,76,47,18,12
10143,150,50,65,14,21
10144,12,11,1,0,0
10147,410,65,87,74,184
10150,50,17,23,6,4
10151,0,0,0,0,0
10153,0,0,0,0,0
10157,125,56,34,22,13
10159,0,0,0,0,0
10160,143,87,37,13,6
10161,140,90,31,15,4
10162,172,126,38,5,3
10163,89,59,22,7,1
10164,60,23,20,8,9
10165,123,63,44,11,5
10167,157,89,47,20,1
10168,89,24,46,11,8
10169,63,33,22,8,0
10170,0,0,0,0,0
10172,184,89,67,15,13
10173,110,70,36,3,1
10179,155,73,62,13,7
10180,56,22,22,5,7
10181,55,26,24,3,2
10184,29,5,8,6,10
10185,70,11,28,22,9
10186,0,0,0,0,0
10187,75,18,12,19,26
10190,63,12,14,9,28
10192,34,5,5,4,20
10193,46,7,14,12,13
10194,38,5,13,3,17
10195,38,10,12,2,14
10197,52,9,12,12,19
10198,87,17,15,21,34
10200,90,51,23,14,2
10201,32,5,18,5,4
10202,77,27,28,12,10
10203,20,5,5,7,3
10204,40,8,14,7,11
10206,48,13,11,4,20
10207,54,12,21,10,11
10208,44,10,7,11,16
10209,56,7,15,8,26
10210,175,68,63,22,22
10211,94,34,29,14,17
10212,96,28,31,19,18
10213,59,13,16,13,17
10214,83,21,28,13,21
10215,196,84,61,25,26
10218,71,39,28,2,2
10219,586,63,132,140,251
10222,0,0,0,0,0
10223,71,20,22,13,16
10224,53,5,16,18,14
10225,60,10,18,14,18
10226,57,11,15,14,17
10227,48,11,10,11,16
10228,59,20,14,11,14
10229,49,10,17,6,16
10230,66,14,19,18,15
10231,54,7,18,11,18
10232,25,1,12,5,7
10233,14,4,7,2,1
10234,72,15,24,18,15
10235,33,10,12,6,5
10236,39,10,11,3,15
10241,35,5,5,8,17
10242,45,1,3,8,33
10247,56,18,19,14,5
10248,70,20,27,9,14
10249,33,9,16,7,1
10250,95,30,30,16,19
10251,86,19,31,12,24
10252,60,19,16,13,12
10253,57,14,20,8,15
10254,142,45,44,23,30
10255,98,27,34,14,23
10256,121,41,41,25,14
10257,77,20,29,15,13
10258,65,8,26,16,15
10259,0,0,0,0,0
10260,0,0,0,0,0
10261,0,0,0,0,0
10262,269,185,73,9,2
10263,0,0,0,0,0
10265,210,87,94,18,11
10266,109,36,37,19,17
10268,215,170,37,5,3
10269,69,58,10,1,0
10270,101,40,19,9,33
10271,76,26,33,9,8
10272,59,35,14,6,4
10273,50,20,22,4,4
10274,94,12,27,18,37
10275,6,2,2,0,2
10276,0,0,0,0,0
10277,20,15,3,0,2
10278,114,23,20,21,50
10279,215,116,43,15,41
10280,29,12,6,7,4
10281,91,19,22,18,32
10282,2,0,2,0,0
10283,33,13,16,2,2
10284,66,27,24,7,8
10287,44,13,12,10,9
10288,68,18,27,6,17
10289,64,15,22,14,13
10290,59,7,13,14,25
10292,92,21,27,20,24
10295,35,9,17,6,3
10300,106,23,44,25,14
10302,126,70,42,9,5
10308,304,227,71,4,2
10309,121,36,37,27,21
10310,54,17,19,12,6
10312,85,23,23,15,24
10313,76,17,37,11,11
10315,29,3,16,6,4
10316,80,25,34,12,9
10317,84,26,24,18,16
10321,82,30,25,11,16
10322,45,17,15,6,7
10323,53,7,20,6,20
10324,53,12,12,11,18
10325,44,10,11,10,13
10326,69,8,20,17,24
10327,71,19,18,16,18
10328,55,11,13,11,20
10329,56,10,15,12,19
10330,54,11,21,8,14
10331,65,11,18,16,20
10333,76,17,26,18,15
10334,119,45,36,19,19
10335,116,32,39,19,26
10336,51,8,17,10,16
10337,52,10,18,10,14
10338,65,15,11,11,28
10340,61,15,28,5,13
10341,60,17,16,8,19
10344,82,20,34,14,14
10347,18,3,7,4,4
10349,43,5,18,11,9
10350,21,1,9,5,6
10351,27,5,8,4,10
10352,64,14,17,14,19
10353,160,33,61,29,37
10355,121,70,40,5,6
10358,95,36,30,14,15
10359,73,8,24,16,25
10368,64,37,21,5,1
10369,0,0,0,0,0
10370,0,0,0,0,0
10372,104,53,32,11,8
10373,159,80,66,12,1
10375,103,57,39,6,1
10376,143,52,60,19,12
10377,0,0,0,0,0
10378,144,64,43,23,14
10380,474,85,143,158,88
10384,66,12,24,15,15
10385,125,62,45,15,3
10386,86,31,33,12,10
10388,586,274,221,49,42
10390,305,149,115,26,15
10392,136,64,51,14,7
10394,69,23,34,5,7
10395,0,0,0,0,0
10398,420,247,131,29,13
10399,27,22,5,0,0
10400,67,12,28,12,15
10401,170,65,68,24,13
10402,18,2,6,4,6
10403,79,26,19,13,21
10405,63,15,19,14,15
10411,53,5,10,7,31
10413,121,58,27,19,17
10414,120,33,56,15,16
10416,111,50,38,8,15
10417,116,52,38,17,9
10418,128,69,37,13,9
10419,113,35,46,19,13
10420,112,51,41,12,8
10421,52,13,26,9,4
10424,53,15,13,10,15
10425,82,21,34,14,13
10427,27,8,5,1,13
10428,25,6,8,2,9
10429,49,10,14,11,14
10430,46,7,14,10,15
10431,29,4,10,2,13
10432,53,8,7,12,26
10433,44,6,11,4,23
10434,32,9,6,4,13
10435,41,5,9,9,18
10436,50,11,17,11,11
10437,55,6,11,11,27
10438,152,29,43,33,47
10440,37,5,9,4,19
10441,75,17,11,12,35
10443,57,11,15,12,19
10444,42,9,11,5,17
10445,273,55,60,53,105
10446,91,19,21,12,39
10447,0,0,0,0,0
10450,33,12,11,4,6
10452,29,4,2,6,17
10454,533,354,84,36,59
10455,13,5,6,2,0
10456,601,398,149,25,29
10457,181,71,69,26,15
10458,20,7,11,2,0
10460,30,20,3,5,2
10462,220,114,64,19,23
10463,37,4,12,5,16
10464,53,11,10,12,20
10466,62,18,20,14,10
10467,50,14,9,13,14
10468,112,29,47,17,19
10469,74,18,16,21,19
10470,89,25,22,15,27
10472,33,7,13,5,8
10473,59,25,20,6,8
10474,100,35,35,23,7
10476,0,0,0,0,0
10477,57,15,24,7,11
10482,0,0,0,0,0
10483,0,0,0,0,0
10484,160,99,44,11,6
10486,142,58,62,18,4
10487,160,88,56,9,7
10488,63,41,20,2,0
10489,128,69,49,9,1
10490,203,117,77,8,1
10493,167,98,45,14,10
10494,76,32,29,5,10
10496,181,102,58,11,10
10498,181,80,68,25,8
10499,216,142,61,11,2
10501,196,99,72,15,10
10503,130,51,47,17,15
10504,88,27,35,12,14
10507,87,34,39,9,5
10508,69,24,33,6,6
10509,83,29,38,9,7
10512,0,0,0,0,0
10514,97,42,44,8,3
10515,89,54,30,4,1
10517,58,21,33,4,0
10518,104,29,43,15,17
10519,42,8,17,3,14
10520,0,0,0,0,0
10523,132,38,46,27,21
10524,72,25,16,8,23
10525,80,22,27,12,19
10526,105,38,32,17,18
10527,135,54,45,17,19
10528,64,15,14,16,19
10529,74,20,26,11,17
10530,60,14,16,9,21
10532,287,178,89,16,4
10535,161,74,68,12,7
10536,89,38,39,11,1
10538,83,41,28,6,8
10539,76,37,32,2,5
10540,78,29,30,13,6
10541,86,23,34,17,12
10542,47,12,24,3,8
10543,111,29,39,19,24
10544,45,17,15,7,6
10546,32,3,22,5,2
10547,23,7,8,7,1
10549,9,6,2,0,1
10551,42,14,17,3,8
10552,55,26,22,5,2
10553,59,21,28,7,3
10554,31,12,15,1,3
10555,0,0,0,0,0
10564,89,53,29,6,1
10566,69,27,24,5,13
10567,141,67,52,12,10
10572,1,1,0,0,0
10573,53,35,14,2,2
10575,0,0,0,0,0
10576,74,14,15,12,33
10581,0,0,0,0,0
10582,0,0,0,0,0
10585,84,33,20,15,16
10586,86,23,28,12,23
10587,117,28,30,33,26
10590,99,19,30,20,30
10593,0,0,0,0,0
10594,82,29,31,15,7
10595,101,67,23,5,6
10596,124,72,47,4,1
10597,24,11,8,5,0
10598,51,21,19,6,5
10600,0,0,0,0,0
10601,140,107,28,4,1
10602,145,79,50,8,8
10604,69,27,35,4,3
10605,42,8,16,6,12
10606,72,24,21,10,17
10607,58,11,25,12,10
10608,60,12,24,10,14
10609,0,0,0,0,0
10610,42,15,10,12,5
10611,96,34,35,10,17
10612,288,125,90,45,28
10613,35,9,18,3,5
10614,64,19,33,8,4
10627,39,9,10,7,13
10628,30,5,15,2,8
10632,92,57,26,2,7
10635,84,42,29,7,6
10637,107,52,38,9,8
10642,25,3,3,4,15
10646,110,63,30,6,11
10649,222,105,98,14,5
10650,253,76,130,25,22
10654,60,36,21,2,1
10655,32,7,6,7,12
10658,0,0,0,0,0
10659,45,4,10,7,24
10660,34,7,8,6,13
10665,49,13,13,5,18
10666,37,14,10,5,8
10667,43,12,17,4,10
10668,58,12,22,9,15
10669,59,12,17,12,18
10670,80,17,27,15,21
10671,77,16,31,14,16
10675,712,458,205,29,20
10677,63,28,31,2,2
10680,23,5,12,4,2
10681,124,63,30,8,23
10683,20,3,8,3,6
10684,25,4,10,5,6
10685,40,10,10,5,15
10686,28,13,12,0,3
10693,95,51,29,8,7
10695,94,47,32,8,7
10696,0,0,0,0,0
10697,78,18,26,17,17
10698,93,43,27,14,9
10699,81,39,27,10,5
10700,25,5,8,7,5
10701,63,18,24,7,14
10702,0,0,0,0,0
10703,0,0,0,0,0
10704,44,16,25,2,1
10705,50,8,18,14,10
10706,100,36,31,17,16
10707,63,11,11,9,32
10708,62,8,9,12,33
10711,43,4,7,9,23
10713,58,8,8,17,25
10714,70,11,15,14,30
10716,34,1,7,7,19
10717,56,13,12,3,28
10718,56,6,8,12,30
10720,51,12,14,6,19
10721,49,3,19,6,21
10722,60,9,18,5,28
10724,168,79,65,16,8
10725,55,8,13,12,22
10726,55,13,17,9,16
10727,32,5,12,6,9
10728,30,4,9,4,13
10731,0,0,0,0,0
10734,153,43,57,32,21
10735,0,0,0,0,0
10736,10,3,2,2,3
10743,34,7,12,8,7
10744,94,14,25,26,29
10745,52,10,27,7,8
10750,27,4,9,2,12
10751,50,9,16,8,17
10753,50,10,12,9,19
10754,55,13,17,7,18
10756,51,8,14,7,22
10760,54,6,13,14,21
10761,51,10,16,11,14
10762,132,54,47,13,18
10763,118,41,51,12,14
10764,134,33,46,27,28
10765,52,18,19,8,7
10766,51,11,25,6,9
10767,53,13,13,12,15
10768,117,49,52,6,10
10769,34,23,11,0,0
10770,169,64,65,18,22
10771,126,56,40,16,14
10772,91,32,26,20,13
10773,115,45,38,20,12
10774,92,27,36,21,8
10775,56,15,22,14,5
10776,31,4,12,9,6
10780,29,5,12,3,9
10782,59,10,24,13,12
10783,46,8,16,7,15
10786,25,8,8,5,4
10787,0,0,0,0,0
10790,44,7,16,5,16
10791,38,15,11,6,6
10793,291,149,83,34,25
10795,56,5,11,10,30
10798,42,16,11,6,9
10801,82,20,23,10,29
10803,121,29,31,20,41
10805,24,4,10,3,7
10806,41,7,11,10,13
10809,2,0,0,0,2
10810,104,53,14,15,22
10811,53,11,9,9,24
10812,49,9,7,9,24
10813,38,10,7,4,17
10814,169,27,37,28,77
10817,48,11,8,7,22
10818,48,3,9,5,31
10819,60,12,6,10,32
10822,0,0,0,0,0
10823,32,10,14,1,7
10834,86,30,24,23,9
10835,68,27,17,14,10
10837,130,38,47,25,20
10838,108,44,31,18,15
10839,0,0,0,0,0
10840,0,0,0,0,0
10843,52,28,16,3,5
10847,66,34,22,7,3
10848,66,26,25,7,8
10849,93,51,26,12,4
10850,84,38,35,9,2
10851,92,29,38,13,12
10852,94,39,34,17,4
10853,192,53,67,38,34
10854,11,4,3,2,2
10856,203,81,78,19,25
10857,145,54,61,7,23
10858,54,18,25,9,2
10859,66,20,31,7,8
10860,46,8,12,5,21
10861,29,9,5,8,7
10863,0,0,0,0,0
10864,14,1,4,1,8
10865,45,5,6,8,26
10866,40,5,11,4,20
10867,48,5,12,12,19
10868,30,4,9,4,13
10871,201,86,61,18,36
10873,51,10,10,14,17
10874,136,34,47,29,26
10876,41,16,10,7,8
10877,91,41,39,9,2
10878,39,6,15,9,9
10879,73,13,33,18,9
10881,70,14,21,10,25
10882,54,16,8,15,15
10883,84,18,23,21,22
10884,123,48,39,15,21
10885,0,0,0,0,0
10886,53,14,14,7,18
10887,125,48,35,21,21
10889,88,24,30,13,21
10890,48,9,21,10,8
10891,54,10,20,7,17
10892,116,46,43,14,13
10893,84,22,23,22,17
10894,79,18,20,18,23
10895,183,70,70,26,17
10896,142,61,59,16,6
10897,57,9,14,18,16
10898,54,5,19,11,19
10899,64,32,14,10,8
10900,54,21,19,7,7
10901,75,22,29,14,10
10902,92,41,29,10,12
10904,162,80,62,11,9
10906,134,52,55,15,12
10907,72,29,24,14,5
10908,115,45,42,16,12
10909,110,42,42,13,13
10910,78,24,30,17,7
10911,95,41,20,15,19
10912,107,59,34,6,8
10913,46,12,17,14,3
10914,75,28,24,16,7
10915,51,22,12,7,10
10916,39,5,20,7,7
10917,38,10,16,7,5
10920,0,0,0,0,0
10922,13,2,8,2,1
10924,68,22,25,12,9
10925,58,11,18,11,18
10927,180,66,62,22,30
10929,75,19,35,10,11
10930,116,48,41,16,11
10933,39,8,13,4,14
10934,24,8,6,5,5
10936,43,10,15,5,13
10937,90,7,18,20,45
10938,47,6,5,7,29
10939,39,8,8,7,16
10940,39,5,15,3,16
10941,56,6,15,8,27
10944,23,8,9,1,5
10947,115,26,29,23,37
10948,285,108,56,50,71
10950,237,165,44,16,12
10951,0,0,0,0,0
10955,54,9,18,7,20
10956,52,12,15,13,12
10957,32,9,9,9,5
10958,49,26,12,8,3
10959,84,32,32,13,7
10961,93,31,36,13,13
10962,109,49,37,11,12
10964,38,17,18,1,2
10965,94,23,42,12,17
10966,202,77,75,39,11
10967,75,32,28,12,3
10970,47,18,19,4,6
10972,3,3,0,0,0
10975,70,12,18,9,31
10976,65,15,23,12,15
10977,46,9,11,6,20
10978,42,8,13,9,12
10982,49,17,12,5,15
10983,59,17,20,9,13
10984,61,27,19,5,10
10985,109,47,45,15,2
10986,87,28,48,7,4
10989,122,69,41,8,4
10990,119,52,50,13,4
10991,154,75,51,19,9
10992,121,71,38,6,6
10993,135,87,33,6,9
10994,99,38,34,15,12
10995,111,52,41,12,6
10996,236,135,86,10,5
10997,84,43,27,8,6
10999,85,34,34,10,7
11001,105,46,33,12,14
11002,20,4,4,3,9
11004,82,28,25,13,16
11005,81,25,29,9,18
11006,92,28,26,13,25
11008,151,60,46,22,23
11011,0,0,0,0,0
11013,0,0,0,0,0
11014,0,0,0,0,0
11015,33,16,11,2,4
11018,48,11,10,4,23
11021,77,11,26,20,20
11026,388,139,137,54,58
11027,64,23,29,7,5
11028,78,26,30,14,8
11031,0,0,0,0,0
11033,0,0,0,0,0
11038,0,0,0,0,0
11039,88,29,19,12,28
11041,40,6,6,6,22
11042,44,10,11,6,17
11044,55,8,10,15,22
11046,91,13,35,15,28
11051,52,14,19,3,16
11055,61,14,20,18,9
11056,55,10,10,11,24
11059,45,22,17,3,3
11060,67,14,25,13,15
11062,64,21,19,12,12
11063,88,24,34,13,17
11064,100,42,37,16,5
11065,74,74,0,0,0
11067,138,56,45,17,20
11068,115,61,35,4,15
11071,520,323,79,43,75
11073,209,19,38,37,115
11074,0,0,0,0,0
11075,0,0,0,0,0
11079,136,72,43,15,6
11080,79,37,14,13,15
11081,76,32,27,10,7
11082,94,38,28,17,11
11083,184,30,67,42,45
11085,87,38,36,10,3
11086,0,0,0,0,0
11087,6,0,2,3,1
11090,230,155,55,16,4
11092,134,55,66,10,3
11093,361,208,127,17,9
11094,98,58,24,11,5
11095,139,64,61,8,6
11096,74,32,26,13,3
11097,68,27,32,6,3
11098,63,15,28,11,9
11099,72,22,32,7,11
11100,67,22,25,12,8
11101,59,15,27,9,8
11102,60,17,28,7,8
11103,96,45,29,14,8
11104,78,28,33,7,10
11106,51,8,22,11,10
11107,53,12,23,7,11
11108,72,31,25,8,8
11109,55,11,23,12,9
11118,147,67,61,12,7
11120,59,33,17,3,6
11121,230,120,56,20,34
11122,250,127,59,25,39
11125,137,67,40,18,12
11127,69,26,31,8,4
11128,0,0,0,0,0
11129,0,0,0,0,0
11130,0,0,0,0,0
11132,199,56,82,34,27
11133,42,9,16,9,8
11134,90,37,33,8,12
11135,147,31,64,29,23
11136,70,26,28,5,11
11138,127,89,29,7,2
11139,236,117,60,22,37
11145,24,15,7,2,0
11146,48,15,20,8,5
11147,22,11,6,3,2
11148,44,14,17,4,9
11149,0,0,0,0,0
11150,132,46,65,14,7
11151,227,139,68,12,8
11152,158,85,52,11,10
11153,163,101,43,10,9
11154,90,43,25,18,4
11155,106,67,29,7,3
11156,171,134,30,5,2
11157,94,46,31,9,8
11159,92,31,36,19,6
11160,161,94,55,9,3
11162,69,29,36,2,2
11163,51,17,21,9,4
11164,58,11,23,12,12
11165,61,15,24,12,10
11166,82,29,27,18,8
11167,55,7,26,11,11
11168,65,26,24,10,5
11169,99,42,45,8,4
11171,83,20,27,16,20
11172,333,189,108,22,14
11173,119,116,3,0,0
11174,73,17,21,10,25
11175,69,14,23,8,24
11176,54,9,13,9,23
11177,74,13,15,21,25
11178,56,6,16,13,21
11179,56,11,18,11,16
11180,47,12,15,6,14
11181,56,12,17,15,12
11182,55,3,12,18,22
11183,54,6,16,13,19
11184,0,0,0,0,0
11186,76,16,29,13,18
11190,77,24,18,17,18
11191,112,30,34,19,29
11192,98,33,33,23,9
11195,112,46,37,12,17
11196,84,13,31,22,18
11198,61,17,16,14,14
11199,75,19,24,14,18
11200,145,62,50,17,16
11201,50,11,10,11,18
11203,55,16,15,9,15
11204,63,16,17,12,18
11205,52,11,13,9,19
11206,0,0,0,0,0
11207,63,14,23,13,13
11208,50,9,19,5,17
11210,64,12,17,15,20
11211,59,12,11,24,12
11213,437,262,148,22,5
11216,94,50,30,6,8
11221,45,6,13,6,20
11222,53,12,10,12,19
11223,66,16,22,8,20
11224,19,3,2,2,12
11225,41,4,10,6,21
11226,0,0,0,0,0
11228,3,2,0,1,0
11229,30,4,6,9,11
11230,26,3,6,2,15
11231,26,4,11,6,5
11232,14,3,4,4,3
11234,36,14,17,4,1
11236,70,17,26,14,13
11237,68,21,27,13,7
11238,74,30,26,9,9
11239,24,5,4,6,9
11240,58,3,15,9,31
11241,48,4,10,12,22
11242,65,6,24,13,22
11243,48,9,7,8,24
11245,184,26,45,35,78
11250,34,11,14,5,4
11251,6,1,4,1,0
11257,16,7,5,1,3
11259,174,144,21,8,1
11260,183,66,85,20,12
11261,206,162,42,2,0
11263,137,56,57,15,9
11264,91,16,38,18,19
11267,57,13,19,11,14
11268,76,9,23,22,22
11269,63,14,12,13,24
11270,26,7,7,0,12
11274,37,2,6,4,25
11280,21,13,6,1,1
11283,197,32,45,48,72
11284,69,7,17,22,23
11287,59,9,12,15,23
11293,67,20,27,11,9
11294,31,7,11,4,9
11297,28,9,5,6,8
11298,9,2,2,3,2
11299,14,4,5,1,4
11300,62,14,22,8,18
11301,92,14,28,21,29
11302,30,8,7,6,9
11303,61,14,17,12,18
11304,42,8,15,8,11
11306,84,24,30,14,16
11307,97,35,41,13,8
11309,102,21,39,21,21
11312,77,32,21,12,12
11315,17,1,9,4,3
11316,47,12,13,10,12
11319,94,34,31,13,16
11323,184,64,57,33,30
11324,180,63,65,21,31
11326,274,128,86,32,28
11328,433,90,111,90,142
11329,379,238,113,15,13
11330,122,93,25,3,1
11332,170,90,66,7,7
11333,25,17,3,4,1
11335,132,83,43,3,3
11337,41,19,15,5,2
11339,23,12,8,2,1
11341,94,46,43,5,0
11342,1,1,0,0,0
11343,269,145,106,15,3
11344,20,5,4,6,5
11345,19,8,7,0,4
11347,11,7,2,0,2
11349,0,0,0,0,0
11350,51,12,10,6,23
11351,82,23,26,15,18
11352,0,0,0,0,0
11353,37,2,9,11,15
11355,234,67,72,40,55
11358,62,7,16,10,29
11359,43,5,15,8,15
11360,65,13,26,10,16
11361,0,0,0,0,0
11367,56,23,24,5,4
11368,0,0,0,0,0
11369,0,0,0,0,0
11371,188,103,54,17,14
11374,34,12,18,3,1
11375,44,8,13,10,13
11376,162,33,50,26,53
11377,116,40,39,20,17
11378,204,79,58,28,39
11381,119,35,35,16,33
11382,90,21,27,18,24
11384,222,40,54,52,76
11385,46,18,15,6,7
11386,34,4,13,3,14
11388,34,4,13,10,7
11389,23,6,11,5,1
11390,19,4,5,4,6
11391,47,1,14,7,25
11392,52,4,9,15,24
11393,82,9,27,8,38
11394,48,16,9,11,12
11396,64,27,24,7,6
11397,12,7,3,1,1
11398,65,11,24,20,10
11399,70,7,12,13,38
11401,43,7,16,7,13
11402,101,17,36,17,31
11403,18,8,10,0,0
11405,120,27,35,18,40
11409,100,16,20,17,47
11411,44,16,20,2,6
11418,72,38,15,7,12
11419,54,3,7,21,23
11422,72,27,22,11,12
11423,136,47,36,31,22
11424,74,19,22,14,19
11425,82,37,24,11,10
11426,81,30,34,13,4
11427,92,22,34,21,15
11429,55,16,21,8,10
11431,36,6,10,4,16
11432,47,11,11,7,18
11433,40,8,9,4,19
11434,65,12,16,11,26
11435,20,8,2,2,8
11436,35,6,13,3,13
11437,87,7,13,15,52
11438,98,12,13,25,48
11439,182,14,44,37,87
11440,54,11,16,4,23
11441,46,5,11,11,19
11442,55,8,14,4,29
11444,0,0,0,0,0
11449,120,31,26,28,35
11453,154,28,38,42,46
11454,157,20,27,26,84
11457,40,4,12,8,16
11459,78,8,18,16,36
11461,443,310,66,25,42
11462,84,31,27,9,17
11463,134,87,36,8,3
11464,32,11,11,5,5
11466,52,15,18,8,11
11467,72,15,26,14,17
11468,75,17,30,16,12
11469,94,22,35,22,15
11471,65,10,28,15,12
11473,51,7,13,12,19
11474,11,4,5,2,0
11475,0,0,0,0,0
11476,0,0,0,0,0
11485,68,31,21,10,6
11486,48,11,22,8,7
11487,22,9,7,2,4
11489,225,151,52,17,5
11490,102,56,36,8,2
11491,109,40,51,14,4
11492,177,104,59,9,5
11495,86,42,32,8,4
11496,60,53,4,2,1
11497,221,122,78,13,8
11498,126,72,44,5,5
11499,115,61,35,9,10
11500,0,0,0,0,0
11501,259,183,52,16,8
11502,82,26,35,11,10
11504,80,36,37,6,1
11505,79,32,29,5,13
11506,60,22,16,15,7
11508,99,39,36,11,13
11509,0,0,0,0,0
11512,389,145,147,55,42
11513,48,7,12,10,19
11514,0,0,0,0,0
11515,0,0,0,0,0
11517,0,0,0,0,0
11522,110,33,32,21,24
11523,81,23,35,12,11
11524,121,42,34,29,16
11525,111,34,43,16,18
11527,96,28,32,18,18
11529,110,39,45,12,14
11530,146,58,75,5,8
11531,67,17,23,8,19
11533,81,29,21,13,18
11541,47,22,21,3,1
11544,1,0,1,0,0
11547,0,0,0,0,0
11548,0,0,0,0,0
11549,0,0,0,0,0
11550,0,0,0,0,0
11557,109,24,39,17,29
11558,86,21,28,10,27
11560,48,13,15,10,10
11569,172,23,42,30,77
11574,20,1,4,4,11
11578,66,13,25,12,16
11579,47,10,13,9,15
11582,32,5,13,9,5
11585,0,0,0,0,0
11586,83,29,36,8,10
11587,0,0,0,0,0
11588,0,0,0,0,0
11589,0,0,0,0,0
11590,252,39,83,69,61
11591,0,0,0,0,0
11594,0,0,0,0,0
11597,77,19,21,12,25
11598,66,14,13,9,30
11599,79,9,17,17,36
11600,77,15,16,13,33
11601,112,12,23,27,50
11602,46,9,17,8,12
11603,52,10,15,15,12
11604,53,12,18,8,15
11605,66,38,20,4,4
11606,50,9,23,10,8
11610,68,10,18,7,33
11611,25,7,6,5,7
11612,48,12,23,6,7
11613,90,24,37,11,18
11614,46,20,13,8,5
11615,83,31,21,22,9
11616,0,0,0,0,0
11617,132,57,63,10,2
11618,0,0,0,0,0
11620,2,0,2,0,0
11622,30,13,15,2,0
11623,0,0,0,0,0
11625,65,21,20,11,13
11626,31,8,13,2,8
11627,89,29,31,13,16
11628,42,7,19,8,8
11629,49,14,23,5,7
11630,46,14,17,10,5
11631,57,6,13,13,25
11632,71,9,13,15,34
11633,49,9,11,5,24
11634,51,13,15,7,16
11635,77,5,22,12,38
11638,50,2,7,11,30
11640,52,5,14,5,28
11641,41,5,8,8,20
11642,68,15,18,15,20
11643,61,17,20,10,14
11646,34,3,12,10,9
11647,55,10,19,14,12
11648,76,25,24,8,19
11649,97,24,46,12,15
11653,27,2,14,5,6
11656,20,5,8,1,6
11658,54,10,20,13,11
11661,112,61,38,6,7
11664,79,45,20,9,5
11666,77,24,24,13,16
11667,41,11,13,15,2
11669,38,7,15,8,8
11670,60,10,10,5,35
11673,35,0,7,5,23
11674,398,272,76,19,31
11676,684,341,126,76,141
11677,37,12,13,7,5
11678,125,41,65,11,8
11679,345,160,113,46,26
11680,57,10,18,15,14
11681,78,26,21,16,15
11682,78,23,22,13,20
11683,69,12,22,14,21
11684,51,13,13,9,16
11685,58,6,19,14,19
11686,133,57,39,21,16
11687,81,19,26,18,18
11692,40,3,6,9,22
11693,0,0,0,0,0
11694,788,343,373,56,16
11697,85,43,34,3,5
11698,59,19,29,7,4
11699,50,15,24,8,3
11701,1,1,0,0,0
11703,0,0,0,0,0
11708,13,2,4,5,2
11715,17,4,5,6,2
11716,48,8,9,11,20
11717,60,12,20,14,14
11719,28,4,9,8,7
11726,78,11,15,19,33
11727,51,9,14,9,19
11728,42,4,9,8,21
11730,191,130,39,17,5
11731,0,0,0,0,0
11735,8,2,5,1,0
11736,131,50,64,10,7
11737,90,29,34,12,15
11741,43,10,8,8,17
11744,89,16,40,19,14
11746,78,21,26,21,10
11747,57,13,20,7,17
11752,61,22,26,5,8
11754,97,60,25,10,2
11756,515,305,112,38,60
11757,418,257,135,14,12
11759,30,5,11,5,9
11762,76,16,20,8,32
