MAZ,num_hh
10001.00000,55
10002.00000,64
10003.00000,69
10004.00000,72
10005.00000,62
10006.00000,96
10007.00000,175
10009.00000,40
10012.00000,303
10017.00000,0
10018.00000,0
10021.00000,9
10022.00000,32
10023.00000,14
10024.00000,54
10025.00000,29
10030.00000,192
10038.00000,624
10039.00000,86
10044.00000,51
10045.00000,55
10047.00000,56
10048.00000,73
10049.00000,63
10052.00000,22
10053.00000,27
10054.00000,55
10055.00000,52
10056.00000,417
10060.00000,0
10062.00000,48
10063.00000,30
10064.00000,0
10065.00000,7
10071.00000,34
10072.00000,31
10073.00000,70
10074.00000,131
10075.00000,105
10076.00000,10
10077.00000,91
10078.00000,1
10079.00000,253
10084.00000,43
10086.00000,0
10087.00000,0
10094.00000,89
10098.00000,86
10099.00000,66
10101.00000,63
10102.00000,91
10104.00000,39
10107.00000,86
10109.00000,90
10110.00000,304
10111.00000,146
10112.00000,118
10114.00000,75
10116.00000,101
10117.00000,376
10119.00000,83
10122.00000,104
10123.00000,0
10124.00000,23
10125.00000,51
10127.00000,178
10128.00000,301
10130.00000,0
10133.00000,65
10137.00000,220
10138.00000,394
10140.00000,161
10141.00000,108
10142.00000,150
10143.00000,165
10144.00000,4
10147.00000,488
10150.00000,65
10151.00000,0
10153.00000,0
10157.00000,137
10159.00000,3
10160.00000,153
10161.00000,138
10162.00000,164
10163.00000,95
10164.00000,65
10165.00000,128
10167.00000,159
10168.00000,85
10169.00000,60
10170.00000,0
10172.00000,188
10173.00000,100
10179.00000,167
10180.00000,55
10181.00000,57
10184.00000,32
10185.00000,2
10186.00000,0
10187.00000,118
10190.00000,65
10192.00000,38
10193.00000,51
10194.00000,35
10195.00000,45
10197.00000,51
10198.00000,79
10200.00000,117
10201.00000,39
10202.00000,86
10203.00000,18
10204.00000,41
10206.00000,50
10207.00000,54
10208.00000,48
10209.00000,57
10210.00000,166
10211.00000,89
10212.00000,97
10213.00000,66
10214.00000,94
10215.00000,192
10218.00000,65
10219.00000,641
10222.00000,0
10223.00000,79
10224.00000,51
10225.00000,64
10226.00000,45
10227.00000,45
10228.00000,54
10229.00000,47
10230.00000,67
10231.00000,59
10232.00000,29
10233.00000,12
10234.00000,65
10235.00000,31
10236.00000,40
10241.00000,35
10242.00000,42
10247.00000,54
10248.00000,69
10249.00000,34
10250.00000,96
10251.00000,80
10252.00000,61
10253.00000,46
10254.00000,157
10255.00000,102
10256.00000,116
10257.00000,60
10258.00000,61
10259.00000,0
10260.00000,3
10261.00000,0
10262.00000,277
10263.00000,0
10265.00000,527
10266.00000,123
10268.00000,140
10269.00000,90
10270.00000,106
10271.00000,89
10272.00000,119
10273.00000,155
10274.00000,125
10275.00000,14
10276.00000,0
10277.00000,15
10278.00000,94
10279.00000,232
10280.00000,34
10281.00000,78
10282.00000,0
10283.00000,24
10284.00000,71
10287.00000,42
10288.00000,54
10289.00000,63
10290.00000,62
10292.00000,91
10295.00000,38
10300.00000,113
10302.00000,99
10308.00000,302
10309.00000,118
10310.00000,45
10312.00000,97
10313.00000,77
10315.00000,26
10316.00000,79
10317.00000,84
10321.00000,84
10322.00000,51
10323.00000,55
10324.00000,57
10325.00000,47
10326.00000,59
10327.00000,72
10328.00000,56
10329.00000,58
10330.00000,58
10331.00000,67
10333.00000,77
10334.00000,132
10335.00000,129
10336.00000,57
10337.00000,52
10338.00000,67
10340.00000,66
10341.00000,56
10344.00000,82
10347.00000,17
10349.00000,44
10350.00000,21
10351.00000,27
10352.00000,67
10353.00000,154
10355.00000,136
10358.00000,103
10359.00000,83
10368.00000,72
10369.00000,0
10370.00000,0
10372.00000,109
10373.00000,169
10375.00000,126
10376.00000,142
10377.00000,0
10378.00000,146
10380.00000,483
10384.00000,67
10385.00000,136
10386.00000,89
10388.00000,621
10390.00000,310
10392.00000,149
10394.00000,92
10395.00000,0
10398.00000,399
10399.00000,13
10400.00000,70
10401.00000,175
10402.00000,18
10403.00000,75
10405.00000,77
10411.00000,44
10413.00000,135
10414.00000,118
10416.00000,116
10417.00000,109
10418.00000,125
10419.00000,119
10420.00000,104
10421.00000,56
10424.00000,49
10425.00000,79
10427.00000,20
10428.00000,25
10429.00000,50
10430.00000,46
10431.00000,29
10432.00000,49
10433.00000,38
10434.00000,37
10435.00000,40
10436.00000,57
10437.00000,53
10438.00000,147
10440.00000,38
10441.00000,77
10443.00000,56
10444.00000,42
10445.00000,206
10446.00000,86
10447.00000,0
10450.00000,31
10452.00000,32
10454.00000,490
10455.00000,15
10456.00000,504
10457.00000,174
10458.00000,22
10460.00000,33
10462.00000,214
10463.00000,32
10464.00000,40
10466.00000,60
10467.00000,50
10468.00000,110
10469.00000,71
10470.00000,78
10472.00000,32
10473.00000,67
10474.00000,99
10476.00000,0
10477.00000,62
10482.00000,0
10483.00000,0
10484.00000,148
10486.00000,133
10487.00000,166
10488.00000,48
10489.00000,125
10490.00000,206
10493.00000,170
10494.00000,67
10496.00000,180
10498.00000,182
10499.00000,219
10501.00000,190
10503.00000,129
10504.00000,83
10507.00000,91
10508.00000,73
10509.00000,91
10512.00000,812
10514.00000,121
10515.00000,112
10517.00000,47
10518.00000,111
10519.00000,54
10520.00000,0
10523.00000,142
10524.00000,74
10525.00000,76
10526.00000,100
10527.00000,133
10528.00000,59
10529.00000,68
10530.00000,53
10532.00000,367
10535.00000,163
10536.00000,90
10538.00000,86
10539.00000,78
10540.00000,83
10541.00000,82
10542.00000,46
10543.00000,114
10544.00000,50
10546.00000,32
10547.00000,28
10549.00000,9
10551.00000,50
10552.00000,57
10553.00000,143
10554.00000,194
10555.00000,208
10564.00000,94
10566.00000,61
10567.00000,137
10572.00000,0
10573.00000,133
10575.00000,0
10576.00000,65
10581.00000,0
10582.00000,0
10585.00000,85
10586.00000,94
10587.00000,124
10590.00000,109
10593.00000,0
10594.00000,87
10595.00000,101
10596.00000,125
10597.00000,18
10598.00000,55
10600.00000,0
10601.00000,138
10602.00000,145
10604.00000,66
10605.00000,38
10606.00000,76
10607.00000,45
10608.00000,54
10609.00000,0
10610.00000,22
10611.00000,107
10612.00000,301
10613.00000,38
10614.00000,78
10627.00000,40
10628.00000,31
10632.00000,100
10635.00000,68
10637.00000,107
10642.00000,28
10646.00000,127
10649.00000,256
10650.00000,293
10654.00000,65
10655.00000,34
10658.00000,0
10659.00000,45
10660.00000,32
10665.00000,48
10666.00000,35
10667.00000,30
10668.00000,64
10669.00000,64
10670.00000,79
10671.00000,79
10675.00000,1493
10677.00000,78
10680.00000,22
10681.00000,124
10683.00000,20
10684.00000,27
10685.00000,40
10686.00000,24
10693.00000,98
10695.00000,84
10696.00000,0
10697.00000,93
10698.00000,110
10699.00000,73
10700.00000,17
10701.00000,53
10702.00000,1
10703.00000,0
10704.00000,42
10705.00000,54
10706.00000,104
10707.00000,58
10708.00000,65
10711.00000,39
10713.00000,64
10714.00000,68
10716.00000,35
10717.00000,60
10718.00000,62
10720.00000,55
10721.00000,48
10722.00000,64
10724.00000,174
10725.00000,59
10726.00000,108
10727.00000,33
10728.00000,35
10731.00000,0
10734.00000,149
10735.00000,0
10736.00000,9
10743.00000,45
10744.00000,98
10745.00000,59
10750.00000,31
10751.00000,54
10753.00000,47
10754.00000,52
10756.00000,52
10760.00000,60
10761.00000,53
10762.00000,148
10763.00000,115
10764.00000,133
10765.00000,60
10766.00000,52
10767.00000,55
