MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,Male,Female,Age_00_19,Age_20_34,Age_35_64,Age_65_up,Pop,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
116520,53,10,15,10,18,123,89,60,62,75,15,212,7300,961,100368,2304,81,2,San Mateo
117812,12,2,3,2,5,28,20,14,14,17,3,48,7918,961,100368,2304,81,2,San Mateo
114960,0,0,0,0,0,0,0,0,0,0,0,0,6546,961,100368,2304,81,2,San Mateo
114961,0,0,0,0,0,0,0,0,0,0,0,0,6547,961,100368,2304,81,2,San Mateo
118692,1,1,0,0,0,2,2,2,1,1,0,4,8332,961,100368,2304,81,2,San Mateo
116241,0,0,0,0,0,0,0,0,0,0,0,0,7165,961,100368,2304,81,2,San Mateo
112238,3,0,1,1,1,7,5,3,4,4,1,12,5221,961,100368,2304,81,2,San Mateo
115301,5,1,1,1,2,12,8,6,6,7,1,20,6720,961,100368,2304,81,2,San Mateo
112108,0,0,0,0,0,0,0,0,0,0,0,0,5168,961,100368,2304,81,2,San Mateo
114023,2,0,1,0,1,5,3,2,2,3,1,8,6091,961,100368,2304,81,2,San Mateo
118693,1,1,0,0,0,2,2,2,1,1,0,4,8333,961,100368,2304,81,2,San Mateo
111412,3,1,1,0,1,4,4,2,1,4,1,8,4851,860,100254,2304,81,2,San Mateo
110615,10,3,3,2,2,13,12,6,4,13,2,25,4452,860,100254,2304,81,2,San Mateo
111556,0,0,0,0,0,0,0,0,0,0,0,0,4917,860,100254,2304,81,2,San Mateo
116247,8,2,3,1,2,10,11,6,3,9,3,21,7166,985,100394,2304,81,2,San Mateo
112652,64,17,22,9,16,84,87,44,26,81,20,171,5416,985,100394,2304,81,2,San Mateo
113307,17,4,7,2,4,22,23,12,7,21,5,45,5737,1005,100423,2304,81,2,San Mateo
112697,0,0,0,0,0,0,0,0,0,0,0,0,5443,1005,100423,2304,81,2,San Mateo
117540,0,0,0,0,0,0,0,0,0,0,0,0,7784,1005,100423,2304,81,2,San Mateo
118862,1,1,0,0,0,2,1,2,0,1,0,3,8411,1005,100423,2304,81,2,San Mateo
116037,83,22,30,11,20,109,113,58,34,104,26,222,7068,1005,100423,2304,81,2,San Mateo
113313,209,55,74,29,51,274,285,145,86,262,66,559,5740,1005,100423,2304,81,2,San Mateo
114582,53,14,19,7,13,69,73,37,22,66,17,142,6365,1005,100423,2304,81,2,San Mateo
118865,49,13,17,7,12,64,67,34,20,62,15,131,8413,1005,100423,2304,81,2,San Mateo
116962,28,7,10,4,7,37,38,19,12,35,9,75,7502,1005,100423,2304,81,2,San Mateo
112752,107,28,38,15,26,140,146,74,44,134,34,286,5472,1005,100423,2304,81,2,San Mateo
113318,293,77,105,40,71,384,399,203,121,367,92,783,5741,1005,100423,2304,81,2,San Mateo
114578,0,0,0,0,0,0,0,0,0,0,0,0,6362,858,100251,2304,81,2,San Mateo
110465,113,30,40,15,28,148,154,78,47,141,36,302,4374,985,100394,2304,81,2,San Mateo
118150,142,37,51,19,35,186,194,98,59,178,45,380,8077,1005,100423,2304,81,2,San Mateo
111758,8,2,3,1,2,10,11,6,3,9,3,21,5011,1005,100423,2304,81,2,San Mateo
110462,79,21,28,11,19,104,107,55,33,98,25,211,4371,1005,100423,2304,81,2,San Mateo
112649,43,11,16,6,10,56,59,30,18,53,14,115,5415,1005,100423,2304,81,2,San Mateo
116970,29,8,10,4,7,38,40,20,12,37,9,78,7504,1005,100423,2304,81,2,San Mateo
117656,71,19,25,10,17,93,97,49,29,90,22,190,7839,1005,100423,2304,81,2,San Mateo
116323,106,18,36,19,33,175,163,96,80,142,20,338,7204,1013,100434,2304,81,2,San Mateo
113866,295,51,99,53,92,487,453,266,222,397,55,940,6008,1013,100434,2304,81,2,San Mateo
117952,32,5,11,6,10,53,49,29,24,43,6,102,7984,1013,100434,2304,81,2,San Mateo
113310,47,8,16,8,15,78,72,42,35,64,9,150,5739,1013,100434,2304,81,2,San Mateo
112851,31,5,10,6,10,51,48,28,23,42,6,99,5506,1013,100434,2304,81,2,San Mateo
116969,30,5,11,5,9,50,46,27,23,40,6,96,7503,1013,100434,2304,81,2,San Mateo
117661,70,12,23,13,22,116,107,63,53,94,13,223,7842,1013,100434,2304,81,2,San Mateo
116035,44,12,15,6,11,58,60,31,18,55,14,118,7066,1005,100423,2304,81,2,San Mateo
111752,73,19,26,10,18,96,99,51,30,91,23,195,5010,1005,100423,2304,81,2,San Mateo
112506,10,3,4,1,2,13,14,7,4,13,3,27,5351,1005,100423,2304,81,2,San Mateo
112646,75,20,27,10,18,98,102,52,31,93,24,200,5414,1005,100423,2304,81,2,San Mateo
117954,40,11,14,5,10,52,55,28,16,50,13,107,7985,1005,100423,2304,81,2,San Mateo
117657,21,6,7,3,5,28,28,15,9,25,7,56,7840,1005,100423,2304,81,2,San Mateo
113607,67,18,24,9,16,88,91,46,28,84,21,179,5889,858,100251,2304,81,2,San Mateo
114576,33,9,11,5,8,43,45,23,14,41,10,88,6361,858,100251,2304,81,2,San Mateo
110460,131,34,47,18,32,172,178,91,54,164,41,350,4370,858,100251,2304,81,2,San Mateo
116032,32,8,12,4,8,42,44,22,13,41,10,86,7065,858,100251,2304,81,2,San Mateo
117752,7,2,2,1,2,9,10,5,3,9,2,19,7890,858,100251,2304,81,2,San Mateo
110464,8,2,3,1,2,10,11,6,3,9,3,21,4373,858,100251,2304,81,2,San Mateo
116188,36,9,13,5,9,47,49,25,15,45,11,96,7136,1005,100423,2304,81,2,San Mateo
112691,19,5,6,3,5,25,26,13,8,24,6,51,5440,1005,100423,2304,81,2,San Mateo
116180,3,0,1,1,1,5,5,3,2,4,1,10,7135,1013,100434,2304,81,2,San Mateo
118624,6,1,2,1,2,10,9,5,5,8,1,19,8304,1013,100434,2304,81,2,San Mateo
115843,7,1,3,1,2,11,11,6,5,10,1,22,6975,1013,100434,2304,81,2,San Mateo
112161,3,0,1,1,1,5,5,3,2,4,1,10,5189,1013,100434,2304,81,2,San Mateo
117817,13,2,5,2,4,21,20,12,10,17,2,41,7919,1013,100434,2304,81,2,San Mateo
112655,46,12,17,6,11,60,63,32,19,58,14,123,5417,858,100251,2304,81,2,San Mateo
111751,19,5,6,3,5,25,26,13,8,24,6,51,5009,858,100251,2304,81,2,San Mateo
110463,14,4,5,2,3,18,19,10,6,17,4,37,4372,858,100251,2304,81,2,San Mateo
111760,6,2,2,1,1,8,8,4,2,8,2,16,5012,858,100251,2304,81,2,San Mateo
114574,11,3,3,2,3,14,15,8,5,13,3,29,6360,858,100251,2304,81,2,San Mateo
114579,1,1,0,0,0,2,1,2,0,1,0,3,6363,858,100251,2304,81,2,San Mateo
111750,0,0,0,0,0,0,0,0,0,0,0,0,5008,952,100353,2304,81,2,San Mateo
116031,12,3,4,2,3,16,16,8,5,15,4,32,7064,858,100251,2304,81,2,San Mateo
115844,49,13,17,7,12,64,67,34,20,62,15,131,6976,985,100394,2304,81,2,San Mateo
112386,122,32,43,17,30,160,166,85,50,153,38,326,5293,858,100251,2304,81,2,San Mateo
117955,19,5,6,3,5,25,26,13,8,24,6,51,7986,858,100251,2304,81,2,San Mateo
114719,18,5,7,2,4,24,24,12,7,23,6,48,6431,858,100251,2304,81,2,San Mateo
114580,9,2,4,1,2,12,12,6,4,11,3,24,6364,858,100251,2304,81,2,San Mateo
113609,19,5,6,3,5,25,26,13,8,24,6,51,5890,858,100251,2304,81,2,San Mateo
117076,3,1,1,0,1,4,4,2,1,4,1,8,7562,858,100251,2304,81,2,San Mateo
117669,0,0,0,0,0,0,0,0,0,0,0,0,7844,952,100353,2304,81,2,San Mateo
117616,55,14,20,8,13,72,75,38,23,69,17,147,7817,858,100251,2304,81,2,San Mateo
117807,90,24,32,12,22,118,123,62,37,114,28,241,7916,858,100251,2304,81,2,San Mateo
119223,410,55,145,64,146,1148,653,421,478,797,105,1801,8590,952,100353,2304,81,2,San Mateo
116824,37,6,14,7,10,50,49,27,13,52,7,99,7438,964,100371,2304,81,2,San Mateo
112321,204,35,40,34,95,394,361,288,163,274,30,755,5260,833,100223,2304,81,2,San Mateo
112832,72,12,27,14,19,96,96,52,26,101,13,192,5502,964,100371,2304,81,2,San Mateo
114313,20,3,4,3,10,39,35,28,16,27,3,74,6226,833,100223,2304,81,2,San Mateo
111599,8,1,3,2,2,10,11,6,3,11,1,21,4937,964,100371,2304,81,2,San Mateo
117171,6,1,1,1,3,11,11,8,5,8,1,22,7606,833,100223,2304,81,2,San Mateo
115631,4,1,1,1,1,8,7,6,3,5,1,15,6867,833,100223,2304,81,2,San Mateo
119002,1,1,0,0,0,2,2,2,1,1,0,4,8492,833,100223,2304,81,2,San Mateo
111602,40,6,14,8,12,57,57,32,14,60,8,114,4938,960,100365,2304,81,2,San Mateo
118994,7,1,3,1,2,10,9,5,2,11,1,19,8490,964,100371,2304,81,2,San Mateo
115303,124,20,47,23,34,166,165,90,44,174,23,331,6722,964,100371,2304,81,2,San Mateo
113306,45,7,18,8,12,60,60,33,16,63,8,120,5736,964,100371,2304,81,2,San Mateo
114773,29,6,9,6,8,42,43,21,11,45,8,85,6460,962,100369,2304,81,2,San Mateo
113755,36,7,12,7,10,53,53,26,14,56,10,106,5962,962,100369,2304,81,2,San Mateo
116592,77,15,26,16,20,112,114,55,30,119,22,226,7327,962,100369,2304,81,2,San Mateo
112319,11,2,4,2,3,16,16,8,4,17,3,32,5258,962,100369,2304,81,2,San Mateo
117165,3,0,1,1,1,5,4,2,1,5,1,9,7605,962,100369,2304,81,2,San Mateo
112320,8,1,3,2,2,10,11,6,3,11,1,21,5259,964,100371,2304,81,2,San Mateo
111598,47,9,16,10,12,69,69,34,19,72,13,138,4936,962,100369,2304,81,2,San Mateo
