MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,HHType1,HHType2,HHType3,HHType4,HHType5,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
10001,62,20,25,10,7,24,1,3,20,14,1,56,56,2204,75,1,San Francisco
10002,64,21,26,10,7,24,1,4,21,14,2,56,56,2204,75,1,San Francisco
10003,72,28,30,8,6,16,2,2,28,24,3,10,10,2204,75,1,San Francisco
10004,68,28,28,7,5,18,1,3,28,18,4,53,53,2204,75,1,San Francisco
10005,71,22,28,11,10,30,2,4,22,13,5,48,48,2204,75,1,San Francisco
10006,88,28,34,14,12,36,3,5,28,16,6,48,48,2204,75,1,San Francisco
10007,187,73,68,27,19,62,5,9,72,39,7,65,65,2204,75,1,San Francisco
10009,34,14,12,5,3,11,1,2,13,7,8,65,65,2204,75,1,San Francisco
10012,297,86,115,53,43,107,16,44,86,44,9,40,40,2206,75,1,San Francisco
10017,0,0,0,0,0,0,0,0,0,0,10,570,583,2207,75,1,San Francisco
10018,0,0,0,0,0,0,0,0,0,0,11,563,574,2203,75,1,San Francisco
10021,6,3,2,1,0,2,0,0,2,2,12,601,618,2207,75,1,San Francisco
10022,32,8,7,4,13,11,2,9,8,2,13,114,116,2207,75,1,San Francisco
10023,8,2,4,1,1,3,0,1,2,2,14,123,125,2204,75,1,San Francisco
10024,51,11,14,9,17,10,5,22,11,3,15,605,622,2207,75,1,San Francisco
10025,30,8,8,6,8,7,2,10,9,2,16,606,623,2207,75,1,San Francisco
10030,188,65,64,26,33,64,6,13,64,41,17,248,250,2201,75,1,San Francisco
10038,603,489,65,23,26,47,14,8,489,45,18,356,363,2203,75,1,San Francisco
10039,76,8,15,12,41,34,4,26,8,4,19,324,330,2207,75,1,San Francisco
10044,46,11,13,8,14,19,3,6,11,7,20,618,635,2206,75,1,San Francisco
10045,53,13,15,9,16,21,4,7,13,8,21,618,635,2206,75,1,San Francisco
10047,54,11,13,9,21,23,4,11,11,5,22,197,199,2206,75,1,San Francisco
10048,66,9,13,13,31,36,4,11,9,6,23,619,636,2206,75,1,San Francisco
10049,64,11,14,11,28,31,6,13,11,3,24,99,100,2207,75,1,San Francisco
10052,27,3,7,5,12,15,2,4,3,3,25,443,453,2206,75,1,San Francisco
10053,22,5,5,3,9,8,2,5,5,2,26,542,553,2207,75,1,San Francisco
10054,58,14,12,9,23,19,6,14,14,5,27,542,553,2207,75,1,San Francisco
10055,10,8,2,0,0,1,0,0,8,1,28,39,39,2203,75,1,San Francisco
10056,87,37,35,9,6,26,2,4,38,17,29,286,288,2203,75,1,San Francisco
10060,0,0,0,0,0,0,0,0,0,0,30,83,84,2203,75,1,San Francisco
10062,44,9,9,8,18,16,4,13,9,2,31,115,117,2207,75,1,San Francisco
10063,24,6,5,4,9,10,1,5,6,2,32,186,188,2207,75,1,San Francisco
10064,0,0,0,0,0,0,0,0,0,0,33,292,294,2207,75,1,San Francisco
10065,22,5,8,4,5,11,1,3,5,2,34,292,294,2207,75,1,San Francisco
10071,42,14,14,6,8,21,1,1,15,4,35,429,438,2202,75,1,San Francisco
10072,31,11,10,4,6,16,0,1,11,3,36,429,438,2202,75,1,San Francisco
10073,83,38,27,10,8,30,1,2,39,11,37,451,461,2202,75,1,San Francisco
10074,104,42,36,15,11,24,2,6,43,29,38,461,471,2201,75,1,San Francisco
10075,98,40,34,14,10,23,2,6,39,28,39,461,471,2201,75,1,San Francisco
10076,7,3,2,1,1,2,0,0,3,2,40,461,471,2201,75,1,San Francisco
10077,76,41,25,6,4,19,1,2,41,13,41,425,434,2202,75,1,San Francisco
10078,0,0,0,0,0,0,0,0,0,0,42,468,478,2201,75,1,San Francisco
10079,263,120,95,27,21,83,5,14,121,40,43,391,398,2202,75,1,San Francisco
10084,109,65,31,6,7,23,2,1,66,17,44,359,366,2202,75,1,San Francisco
10086,0,0,0,0,0,0,0,0,0,0,45,397,404,2203,75,1,San Francisco
10087,0,0,0,0,0,0,0,0,0,0,46,394,401,2202,75,1,San Francisco
10094,97,41,42,9,5,18,1,3,42,33,47,412,420,2205,75,1,San Francisco
10098,95,26,30,16,23,37,4,9,26,19,48,480,490,2205,75,1,San Francisco
10099,68,17,25,13,13,27,2,6,17,16,49,479,489,2205,75,1,San Francisco
10101,60,14,19,13,14,30,3,5,14,8,50,279,281,2205,75,1,San Francisco
10102,93,26,28,15,24,38,4,10,26,15,51,481,491,2205,75,1,San Francisco
10104,38,14,16,5,3,5,1,1,14,17,52,6,6,2204,75,1,San Francisco
10107,70,32,18,7,13,12,5,7,33,13,53,552,563,2204,75,1,San Francisco
10109,88,46,25,9,8,14,2,4,45,23,54,559,570,2204,75,1,San Francisco
10110,282,115,59,39,69,60,17,23,114,68,55,20,20,2203,75,1,San Francisco
10111,137,36,38,24,39,34,11,12,36,44,56,21,21,2203,75,1,San Francisco
10112,121,48,32,15,26,28,8,13,48,24,57,18,18,2203,75,1,San Francisco
10114,79,30,29,11,9,26,3,4,30,16,58,52,52,2204,75,1,San Francisco
10116,90,34,33,13,10,30,3,5,34,18,59,52,52,2204,75,1,San Francisco
10117,361,102,119,69,71,82,14,34,102,129,60,525,535,2206,75,1,San Francisco
10119,77,17,15,12,33,33,5,12,17,10,61,444,454,2206,75,1,San Francisco
10122,99,17,16,17,49,55,6,16,17,5,62,42,42,2207,75,1,San Francisco
10123,0,0,0,0,0,0,0,0,0,0,63,602,619,2207,75,1,San Francisco
10124,21,3,4,4,10,11,2,4,3,1,64,97,98,2207,75,1,San Francisco
10125,47,6,9,8,24,26,5,8,6,2,65,97,98,2207,75,1,San Francisco
10127,109,58,42,7,2,28,2,2,58,19,66,38,38,2203,75,1,San Francisco
10128,321,151,136,23,11,83,6,11,150,71,67,411,419,2203,75,1,San Francisco
10130,0,0,0,0,0,0,0,0,0,0,68,186,188,2207,75,1,San Francisco
10133,63,13,20,12,18,37,1,4,13,8,69,141,143,2205,75,1,San Francisco
10137,221,140,52,17,12,33,8,18,139,23,70,354,361,2203,75,1,San Francisco
10138,143,79,39,11,14,22,5,10,81,25,71,553,564,2203,75,1,San Francisco
10140,153,73,51,16,13,21,7,6,73,46,72,1,1,2204,75,1,San Francisco
10141,104,45,38,11,10,16,4,4,45,35,73,512,522,2201,75,1,San Francisco
10142,153,66,56,16,15,24,5,5,68,51,74,512,522,2201,75,1,San Francisco
10143,150,62,56,15,17,26,4,7,61,52,75,372,379,2201,75,1,San Francisco
10144,12,8,3,1,0,2,0,1,7,2,76,557,568,2203,75,1,San Francisco
10147,410,65,103,105,137,164,16,29,65,136,77,571,584,2201,75,1,San Francisco
10150,50,26,17,5,2,10,1,1,27,11,78,422,430,2202,75,1,San Francisco
10151,0,0,0,0,0,0,0,0,0,0,79,358,365,2202,75,1,San Francisco
10153,0,0,0,0,0,0,0,0,0,0,80,364,371,2202,75,1,San Francisco
10157,125,63,43,13,6,29,3,4,61,28,81,381,388,2202,75,1,San Francisco
10159,0,0,0,0,0,0,0,0,0,0,82,568,581,2203,75,1,San Francisco
10160,143,83,41,11,8,36,2,4,83,18,83,418,426,2202,75,1,San Francisco
10161,140,81,40,11,8,36,2,4,80,18,84,418,426,2202,75,1,San Francisco
10162,172,98,52,10,12,43,1,6,97,25,85,419,427,2202,75,1,San Francisco
10163,89,55,24,6,4,15,1,4,55,14,86,423,431,2202,75,1,San Francisco
10164,60,38,15,4,3,12,1,1,38,8,87,357,364,2202,75,1,San Francisco
10165,123,73,35,7,8,26,2,2,74,19,88,359,366,2202,75,1,San Francisco
10167,157,83,52,15,7,33,3,4,82,35,89,422,430,2202,75,1,San Francisco
10168,89,32,39,11,7,13,3,3,32,38,90,6,6,2204,75,1,San Francisco
10169,63,21,28,9,5,14,2,3,21,23,91,11,11,2204,75,1,San Francisco
10170,0,0,0,0,0,0,0,0,0,0,92,6,6,2204,75,1,San Francisco
10172,184,88,61,19,16,25,9,7,88,55,93,1,1,2204,75,1,San Francisco
10173,110,47,36,14,13,24,3,13,46,24,94,3,3,2204,75,1,San Francisco
10179,155,66,68,14,7,28,2,5,67,53,95,412,420,2205,75,1,San Francisco
10180,56,24,24,5,3,10,1,2,24,19,96,412,420,2205,75,1,San Francisco
10181,55,27,22,4,2,8,1,2,27,17,97,436,446,2205,75,1,San Francisco
10184,29,11,11,4,3,10,1,2,10,6,98,52,52,2204,75,1,San Francisco
10185,114,13,28,28,45,24,9,28,13,40,99,576,592,2202,75,1,San Francisco
10187,75,17,14,12,32,31,5,12,17,10,100,444,454,2206,75,1,San Francisco
10190,63,11,17,11,24,30,4,12,11,6,101,195,197,2207,75,1,San Francisco
10192,34,4,7,6,17,18,3,6,4,3,102,310,314,2207,75,1,San Francisco
10193,46,10,15,8,13,19,3,7,10,7,103,150,152,2204,75,1,San Francisco
10194,38,6,11,7,14,20,2,6,6,4,104,184,186,2207,75,1,San Francisco
10195,38,7,11,8,12,18,3,5,7,5,105,154,156,2207,75,1,San Francisco
10197,52,10,11,9,22,25,5,8,10,4,106,311,315,2207,75,1,San Francisco
10198,87,16,21,18,32,43,6,15,16,7,107,313,317,2207,75,1,San Francisco
10200,90,47,26,10,7,23,2,3,47,15,108,466,476,2201,75,1,San Francisco
10201,32,10,13,4,5,14,1,2,10,5,109,298,301,2205,75,1,San Francisco
