MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,HHType1,HHType2,HHType3,HHType4,HHType5,maz,taz_seq,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
16261,0,0,0,0,0,0,0,0,0,0,3516,565,576,2201,75,1,San Francisco
15422,72,26,25,12,9,26,2,7,26,11,3071,76,76,2201,75,1,San Francisco
15311,125,44,44,22,15,45,4,12,45,19,3000,76,76,2201,75,1,San Francisco
14612,0,0,0,0,0,0,0,0,0,0,2627,76,76,2201,75,1,San Francisco
16318,91,32,32,16,11,32,3,9,33,14,3553,76,76,2201,75,1,San Francisco
10250,95,35,33,16,11,35,3,9,34,14,146,76,76,2201,75,1,San Francisco
14564,76,27,27,13,9,27,3,7,27,12,2605,76,76,2201,75,1,San Francisco
15190,67,15,20,13,19,33,3,7,15,9,2936,263,265,2201,75,1,San Francisco
14652,65,14,21,12,18,32,3,7,14,9,2654,263,265,2201,75,1,San Francisco
14058,127,46,44,22,15,46,4,12,46,19,2326,76,76,2201,75,1,San Francisco
14611,139,49,49,24,17,50,5,13,50,21,2626,76,76,2201,75,1,San Francisco
16315,86,29,30,14,13,34,3,7,29,13,3550,266,268,2201,75,1,San Francisco
16316,72,24,25,12,11,29,3,5,24,11,3551,266,268,2201,75,1,San Francisco
16200,50,17,18,8,7,20,2,4,17,7,3478,266,268,2201,75,1,San Francisco
15713,40,13,14,7,6,17,1,3,13,6,3231,266,268,2201,75,1,San Francisco
10249,33,11,12,5,5,13,1,3,11,5,145,266,268,2201,75,1,San Francisco
14190,28,9,10,5,4,12,1,2,9,4,2395,266,268,2201,75,1,San Francisco
15710,53,18,19,9,7,22,1,6,18,6,3230,265,267,2201,75,1,San Francisco
10247,56,19,20,10,7,24,1,6,19,6,143,265,267,2201,75,1,San Francisco
14226,57,19,21,10,7,25,1,6,19,6,2420,265,267,2201,75,1,San Francisco
16260,48,16,18,8,6,21,1,5,16,5,3515,265,267,2201,75,1,San Francisco
16317,78,26,27,13,12,31,3,6,26,12,3552,266,268,2201,75,1,San Francisco
14191,72,23,22,13,14,31,3,7,23,8,2396,538,548,2201,75,1,San Francisco
15714,73,24,26,12,11,29,3,6,24,11,3232,266,268,2201,75,1,San Francisco
16319,70,23,21,12,14,29,3,7,23,8,3554,538,548,2201,75,1,San Francisco
15011,71,22,22,13,14,30,3,7,23,8,2833,538,548,2201,75,1,San Francisco
16199,105,33,32,19,21,45,4,10,34,12,3477,538,548,2201,75,1,San Francisco
16198,59,19,18,10,12,26,2,6,19,6,3476,538,548,2201,75,1,San Francisco
16313,68,23,24,12,9,29,1,8,23,7,3549,265,267,2201,75,1,San Francisco
14562,74,24,25,12,13,30,3,7,25,9,2604,267,269,2201,75,1,San Francisco
16312,54,18,20,9,7,23,1,6,18,6,3548,265,267,2201,75,1,San Francisco
15557,105,36,37,18,14,44,2,12,36,11,3147,265,267,2201,75,1,San Francisco
11060,67,22,22,11,12,28,3,6,22,8,644,267,269,2201,75,1,San Francisco
10585,84,28,28,14,14,35,4,7,28,10,361,267,269,2201,75,1,San Francisco
15188,140,47,46,23,24,58,7,12,46,17,2935,267,269,2201,75,1,San Francisco
10248,70,24,23,11,12,30,3,6,23,8,144,267,269,2201,75,1,San Francisco
15192,60,13,18,12,17,30,3,6,13,8,2938,263,265,2201,75,1,San Francisco
15722,82,18,25,16,23,40,4,9,18,11,3237,263,265,2201,75,1,San Francisco
15013,73,16,23,14,20,36,3,8,16,10,2835,263,265,2201,75,1,San Francisco
15979,62,13,20,12,17,31,3,7,13,8,3377,263,265,2201,75,1,San Francisco
10252,60,13,18,12,17,30,3,6,13,8,148,263,265,2201,75,1,San Francisco
15194,91,30,29,16,16,40,4,7,29,11,2939,536,546,2201,75,1,San Francisco
15195,89,28,29,16,16,38,4,7,29,11,2940,536,546,2201,75,1,San Francisco
15983,66,21,21,12,12,29,3,5,21,8,3380,536,546,2201,75,1,San Francisco
16201,82,27,25,14,16,36,3,8,26,9,3479,538,548,2201,75,1,San Francisco
15191,72,23,22,13,14,31,3,7,23,8,2937,538,548,2201,75,1,San Francisco
15559,59,19,18,10,12,26,2,6,19,6,3148,538,548,2201,75,1,San Francisco
15716,75,25,25,11,14,32,3,8,25,7,3234,264,266,2201,75,1,San Francisco
15721,104,34,35,15,20,46,4,11,34,9,3236,264,266,2201,75,1,San Francisco
15012,39,13,13,6,7,17,2,4,13,3,2834,264,266,2201,75,1,San Francisco
16321,71,24,24,10,13,30,3,8,24,6,3556,264,266,2201,75,1,San Francisco
14436,96,31,32,16,17,39,5,9,32,11,2537,267,269,2201,75,1,San Francisco
15976,96,27,30,14,25,45,4,11,27,9,3376,259,261,2201,75,1,San Francisco
14189,66,22,22,11,11,27,3,6,22,8,2394,267,269,2201,75,1,San Francisco
16320,74,20,24,11,19,35,3,9,20,7,3555,259,261,2201,75,1,San Francisco
10586,86,24,27,13,22,40,4,10,24,8,362,259,261,2201,75,1,San Francisco
10251,86,24,27,13,22,40,4,10,24,8,147,259,261,2201,75,1,San Francisco
15715,55,15,18,8,14,26,2,7,15,5,3233,259,261,2201,75,1,San Francisco
15717,73,20,23,11,19,34,3,9,20,7,3235,259,261,2201,75,1,San Francisco
15723,71,24,24,10,13,30,3,8,24,6,3238,264,266,2201,75,1,San Francisco
10253,57,19,18,10,10,26,2,4,18,7,149,536,546,2201,75,1,San Francisco
14653,66,22,22,10,12,28,3,7,22,6,2655,264,266,2201,75,1,San Francisco
16323,46,11,16,8,11,20,2,6,11,7,3557,537,547,2201,75,1,San Francisco
16324,99,32,32,18,17,44,4,7,32,12,3558,536,546,2201,75,1,San Francisco
15196,62,20,20,11,11,26,3,5,20,8,2941,536,546,2201,75,1,San Francisco
16203,42,12,13,7,10,19,2,4,12,5,3480,75,75,2201,75,1,San Francisco
16325,88,26,27,15,20,37,5,9,26,11,3559,75,75,2201,75,1,San Francisco
10587,117,28,40,21,28,51,5,15,28,18,363,537,547,2201,75,1,San Francisco
11002,20,7,6,3,4,7,1,2,7,3,618,535,545,2201,75,1,San Francisco
14505,112,27,39,20,26,49,5,14,27,17,2576,537,547,2201,75,1,San Francisco
12509,106,25,37,19,25,47,4,14,25,16,1488,537,547,2201,75,1,San Francisco
17090,142,52,44,19,27,53,5,14,52,18,3989,535,545,2201,75,1,San Francisco
11686,133,49,41,18,25,49,5,13,49,17,1025,535,545,2201,75,1,San Francisco
17096,62,19,21,10,12,27,2,7,19,7,3994,533,543,2201,75,1,San Francisco
10886,53,16,18,9,10,24,1,6,16,6,536,533,543,2201,75,1,San Francisco
12136,79,24,27,13,15,36,2,8,24,9,1272,533,543,2201,75,1,San Francisco
10212,96,30,32,16,18,43,2,10,30,11,119,533,543,2201,75,1,San Francisco
10476,0,0,0,0,0,0,0,0,0,0,298,565,576,2201,75,1,San Francisco
16557,102,32,34,17,19,44,3,11,32,12,3687,533,543,2201,75,1,San Francisco
16558,82,25,29,13,15,37,2,9,25,9,3688,533,543,2201,75,1,San Francisco
17094,67,20,21,11,15,28,4,7,20,8,3992,75,75,2201,75,1,San Francisco
17095,72,21,22,12,17,31,4,7,21,9,3993,75,75,2201,75,1,San Francisco
11687,81,24,24,14,19,35,4,8,24,10,1026,75,75,2201,75,1,San Francisco
10884,123,36,38,21,28,53,7,12,36,15,534,75,75,2201,75,1,San Francisco
17097,67,20,22,11,14,31,3,6,20,7,3995,534,544,2201,75,1,San Francisco
15613,83,25,28,13,17,37,4,8,25,9,3177,534,544,2201,75,1,San Francisco
16393,130,39,44,20,27,60,5,12,39,14,3604,534,544,2201,75,1,San Francisco
11004,82,20,28,15,19,36,3,10,20,13,619,537,547,2201,75,1,San Francisco
12086,100,24,34,18,24,44,4,13,24,15,1243,537,547,2201,75,1,San Francisco
10210,175,64,54,24,33,65,6,17,64,23,117,535,545,2201,75,1,San Francisco
10211,94,28,31,15,20,43,4,9,28,10,118,534,544,2201,75,1,San Francisco
12135,7,3,2,1,1,3,0,1,2,1,1271,534,544,2201,75,1,San Francisco
17091,80,28,27,13,12,31,4,8,27,10,3990,222,224,2201,75,1,San Francisco
