TAZ,WI_KIDS,WO_KIDS,WORKERS0,WORKERS1,WORKERS2,WORKERS3,INC00_30,INC30_60,INC60_100,INC100p,Age_00_19,Age_20_34,Age_35_64,Age_65_up,taz,PUMA,COUNTYFP,mtc_county_id,county_name
74,88,179,67,132,61,7,24,19,28,196,187,46,290,178,74,2201,75,1,San Francisco
75,97,376,130,144,125,74,91,89,134,159,168,295,531,201,75,2201,75,1,San Francisco
76,153,572,149,276,254,46,123,159,185,258,210,364,733,221,76,2201,75,1,San Francisco
77,14,48,21,19,15,7,7,10,30,15,40,12,89,23,77,2201,75,1,San Francisco
205,130,544,156,321,146,51,139,177,161,197,196,425,592,295,203,2201,75,1,San Francisco
216,100,517,164,268,159,26,144,191,102,180,145,508,531,153,214,2201,75,1,San Francisco
217,59,305,97,158,94,15,85,113,60,106,127,241,350,86,215,2201,75,1,San Francisco
218,57,297,94,154,91,15,83,110,58,103,141,174,344,173,216,2201,75,1,San Francisco
219,85,443,140,230,136,22,123,164,87,154,117,366,431,130,217,2201,75,1,San Francisco
220,134,531,148,242,204,71,120,116,148,281,272,290,639,212,218,2201,75,1,San Francisco
221,112,442,123,202,170,59,100,96,123,235,177,352,514,189,219,2201,75,1,San Francisco
222,82,324,90,148,125,43,73,71,90,172,139,297,376,133,220,2201,75,1,San Francisco
223,147,580,162,265,223,77,132,126,162,307,248,446,675,232,221,2201,75,1,San Francisco
224,154,637,191,285,244,71,196,158,127,310,271,390,745,373,222,2201,75,1,San Francisco
244,154,637,191,285,244,71,196,158,127,310,252,531,756,274,242,2201,75,1,San Francisco
245,150,620,186,278,237,69,191,154,123,302,259,471,731,264,243,2201,75,1,San Francisco
246,72,147,55,108,50,6,20,16,23,160,167,48,271,98,244,2201,75,1,San Francisco
247,147,301,112,222,102,12,40,32,48,328,266,132,493,208,245,2201,75,1,San Francisco
248,100,448,136,228,156,28,125,119,138,166,228,427,560,170,246,2201,75,1,San Francisco
249,117,524,159,267,183,32,146,139,162,194,178,537,538,194,247,2201,75,1,San Francisco
250,176,785,239,400,274,48,219,208,242,292,293,762,861,258,248,2201,75,1,San Francisco
