control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_NODE_balanced_weight,TAZ_NODE_integer_weight,MAZ_NODE_balanced_weight,MAZ_NODE_integer_weight,county_id,county_name,result,control
numhh,371859.0,374115.95384263335,374152.5044130808,373789.0,374152.5044130808,373769,374152.5044130808,374080,1,San Francisco,373769,374115.95384263335
numhh_gq,395670.0,396119.2400090425,396096.9901883293,395670.0,396096.99018832936,395670,396096.99018832936,395698,1,San Francisco,395670,396119.2400090425
hh_gq_university,6486.0,5909.324024243913,5851.982889952319,5847.0,5851.982889952318,5841,5851.982889952318,5826,1,San Francisco,5841,5909.324024243913
hh_gq_noninstitutional,17325.0,16093.962142165174,16092.502885296264,16034.0,16092.502885296264,16060,16092.502885296264,15792,1,San Francisco,16060,16093.962142165174
hh_size_1,170765.0,145705.08065269142,145903.40908029611,145772.0,145903.40908029611,145321,145903.40908029611,145512,1,San Francisco,145321,145705.08065269142
hh_size_2,150447.0,119586.42220594992,119288.9351768422,119153.0,119288.9351768422,119262,119288.9351768422,119327,1,San Francisco,119262,119586.42220594992
hh_size_3,58164.0,47923.226966056594,47797.88383291751,47757.0,47797.88383291751,47899,47797.88383291751,47916,1,San Francisco,47899,47923.226966056594
hh_size_4,43583.0,35852.686253426255,36048.57426440453,36013.0,36048.57426440453,36220,36048.57426440453,36236,1,San Francisco,36220,35852.686253426255
hh_size_5,14967.0,13419.932390770911,13494.382656704496,13482.0,13494.382656704496,13516,13494.382656704496,13543,1,San Francisco,13516,13419.932390770911
hh_size_6_plus,13288.0,11628.605373738266,11619.319401915893,11612.0,11619.319401915893,11551,11619.319401915893,11546,1,San Francisco,11551,11628.605373738266
hh_wrks_0,97985.0,85273.05164663843,84385.58228506049,84314.0,84385.58228506052,84348,84385.58228506052,84754,1,San Francisco,84348,85273.05164663843
hh_wrks_1,177356.0,144124.02443757423,143709.71524085815,143578.0,143709.71524085812,143572,143709.71524085812,143388,1,San Francisco,143572,144124.02443757423
hh_wrks_2,139596.0,113025.01006347936,113714.46921893286,113581.0,113714.46921893283,113413,113714.46921893283,113536,1,San Francisco,113413,113025.01006347936
hh_wrks_3_plus,36257.0,31693.86769494137,32342.737668229267,32316.0,32342.737668229263,32436,32342.737668229263,32402,1,San Francisco,32436,31693.86769494137
pers_age_00_19,126832.0,126060.14554955473,126091.37498657986,125994.0,126091.37498657985,126352,126091.37498657985,126153,1,San Francisco,126352,126060.14554955473
pers_age_20_34,218033.0,217980.3152735609,218076.8377060783,217836.0,218076.8377060783,218335,218076.8377060783,218469,1,San Francisco,218335,217980.3152735609
pers_age_35_64,347863.0,347254.7833414811,347380.8471692869,347049.0,347380.84716928686,346996,347380.84716928686,347001,1,San Francisco,346996,347254.7833414811
pers_age_65_plus,143608.0,143437.78061234474,143462.0584026338,143298.0,143462.05840263373,143425,143462.05840263373,143816,1,San Francisco,143425,143437.78061234474
hh_kids_yes,83913.0,73071.21086291321,73128.43741906463,73067.0,73128.43741906463,73231,73128.43741906463,73066,1,San Francisco,73231,73071.21086291321
hh_kids_no,367299.0,301044.74297972023,301024.0669940161,300722.0,301024.0669940161,300538,301024.0669940161,301014,1,San Francisco,300538,301044.74297972023
pers_occ_management,81760.0,134285.94334739982,81237.53800814312,81135.0,81237.5380081431,81343,81237.5380081431,81445,1,San Francisco,81343,134285.94334739982
pers_occ_professional,196363.0,176833.61259928087,194559.24507765908,194355.0,194559.24507765908,194110,194559.24507765908,194062,1,San Francisco,194110,176833.61259928087
pers_occ_services,95212.0,62165.87264042455,93115.09706120729,93047.0,93115.09706120729,93117,93115.09706120729,93000,1,San Francisco,93117,62165.87264042455
pers_occ_retail,59516.0,74243.5248794203,58647.5694247618,58580.0,58647.5694247618,58745,58647.56942476181,58937,1,San Francisco,58745,74243.5248794203
pers_occ_manual_military,52596.0,38369.13302945279,51019.59221156135,50977.0,51019.59221156135,50975,51019.59221156134,50952,1,San Francisco,50975,38369.13302945279
inc_lt_20k,49420.0,41569.61165675728,41483.490145349984,41446.0,41483.49014534999,41336,41483.49014534999,41228,1,San Francisco,41336,41569.61165675728
inc_20k_45k,43194.0,36397.23106152354,36355.08504003652,36320.0,36355.08504003652,36319,36355.08504003652,36414,1,San Francisco,36319,36397.23106152354
inc_45k_60k,22983.0,19147.52756174448,19106.61518857487,19095.0,19106.61518857487,19131,19106.61518857487,19151,1,San Francisco,19131,19147.52756174448
inc_60k_75k,20914.0,17880.384563300744,17867.838772858842,17853.0,17867.838772858846,17808,17867.838772858842,17806,1,San Francisco,17808,17880.384563300744
inc_75k_100k,35654.0,30814.484348303664,30821.888715413632,30793.0,30821.888715413632,30859,30821.888715413632,30907,1,San Francisco,30859,30814.484348303664
inc_100k_150k,59448.0,49814.8835522274,49828.06682309848,49772.0,49828.06682309848,49728,49828.06682309848,49809,1,San Francisco,49728,49814.8835522274
inc_150k_200k,51644.0,42728.21277504346,42754.9345108976,42722.0,42754.93451089759,42678,42754.93451089759,42674,1,San Francisco,42678,42728.21277504346
