variable,total_control,total_result,total_diff,total_diff_pct,mae,rmse,mape,r_squared,perfect_matches,perfect_pct,taz_count
numhh,2793475.0,2801164,7689.0,0.2752485703290704,4.2166808149405774,21.648797101900442,11.29973816922548,0.9965191510630065,2979,63.22156196943973,4712
numhh_gq,2918556.0,2918679,123.0,0.004214412880890413,0.026103565365025467,1.7918533812503,0.0008533365598243042,0.999981433402348,4711,99.97877758913413,4712
hh_gq_university,50694.0,48048,-2646.0,-5.219552609776304,1.221137521222411,17.272521038402914,4.231834637359246,0.9928900902414506,4556,96.68930390492359,4712
hh_gq_noninstitutional,74387.0,69467,-4920.0,-6.614058908142552,3.0407470288624787,12.632002504217354,11.414893507676348,0.9656122487451112,3035,64.41001697792869,4712
hh_size_1,789076.0,706315,-82761.0,-10.488343328145831,34.89537351443124,109.13206843833704,22.608293953720377,0.6829031187817949,190,4.032258064516129,4712
hh_size_2,972437.0,882629,-89808.0,-9.235354064067904,39.66001697792869,125.73112329501183,19.350734697801425,0.5678556261600313,83,1.7614601018675722,4712
hh_size_3,510692.0,478185,-32507.0,-6.365284750887032,20.337224108658745,51.3632883866283,22.515745314919222,0.6949291687780412,234,4.966044142614601,4712
hh_size_4,446226.0,430258,-15968.0,-3.578455760085696,19.646010186757216,48.373853592361364,27.208376244695767,0.7240824313993189,303,6.4303904923599315,4712
hh_size_5,181863.0,181668,-195.0,-0.10722356939014534,8.5740662139219,17.598757239269005,27.60097519206386,0.8451067173229316,1113,23.620543293718164,4712
hh_size_6_plus,120379.0,122109,1730.0,1.437127738226767,7.039049235993208,17.805185143564344,29.929616681819734,0.7944987698775863,1806,38.3276740237691,4712
hh_wrks_0,654368.0,602306,-52062.0,-7.956073646633087,25.171477079796265,57.74835638816749,19.833212133548606,0.7308414747204536,116,2.461799660441426,4712
hh_wrks_1,1114149.0,1023499,-90650.0,-8.136254666117368,43.59380305602716,132.32428686011895,19.542467056774953,0.6007328983744319,75,1.5916808149405774,4712
hh_wrks_2,966969.0,900320,-66649.0,-6.892568427736566,39.89240237691002,132.4430227944341,18.968948627758998,0.49692052131234227,85,1.803904923599321,4712
hh_wrks_3_plus,285203.0,275039,-10164.0,-3.563777379620831,12.16553480475382,27.492289395954273,22.147487715243578,0.745914218137799,302,6.409168081494057,4712
pers_age_00_19,1693504.0,1690322,-3182.0,-0.1878944484335437,49.5848896434635,88.79629642087848,21.2603304747261,0.9033712011088091,50,1.061120543293718,4712
pers_age_20_34,1577133.0,1575098,-2035.0,-0.12903160354897145,50.78883701188455,107.69310350062312,20.52066614202516,0.8631627952600128,50,1.061120543293718,4712
pers_age_35_64,3093525.0,3085747,-7778.0,-0.2514283867109527,95.61757215619694,140.51192633767405,26.96681822857251,0.893117149959262,12,0.2546689303904924,4712
pers_age_65_plus,1251236.0,1248812,-2424.0,-0.19372844131722552,38.32258064516129,55.319480353862616,23.024599641937947,0.9091036819799803,58,1.230899830220713,4712
hh_kids_yes,910632.0,857585,-53047.0,-5.825294959983835,33.79265704584041,89.05430445865377,21.644970014154755,0.7229551370808427,118,2.504244482173175,4712
hh_kids_no,2110053.0,1943579,-166474.0,-7.8895648592713075,83.28310696095076,255.17936200087084,20.82413372533992,0.5383564564235075,38,0.8064516129032258,4712
inc_lt_20k,233293.0,214058,-19235.0,-8.244996635132644,9.754456706281834,31.80980924724871,16.215324337109294,0.7785639229205072,1154,24.490662139219015,4712
inc_20k_45k,285986.0,265618,-20368.0,-7.122026952368297,11.039473684210526,30.721861392213476,18.336450306148116,0.7757763970451763,715,15.17402376910017,4712
inc_45k_60k,176787.0,164692,-12095.0,-6.841566404769582,6.836799660441426,21.539353764939314,16.852410188613202,0.7824380223189326,1218,25.848896434634977,4712
inc_60k_75k,177474.0,165569,-11905.0,-6.708024837440978,6.565152801358234,16.749838455496494,17.194484793491746,0.853118959286935,1212,25.721561969439726,4712
inc_75k_100k,283924.0,265881,-18043.0,-6.354869612995027,10.349533106960951,24.908878930524992,18.3282886110689,0.829267432983973,639,13.561120543293717,4712
inc_100k_150k,486028.0,453511,-32517.0,-6.6903552881726975,18.018887945670627,45.52420343588657,19.01129425762374,0.742943451763774,291,6.17572156196944,4712
inc_150k_200k,378625.0,350677,-27948.0,-7.381446021789369,14.683786078098471,43.545733428548665,19.735477102101502,0.6987442135698816,400,8.488964346349745,4712
inc_200k_plus,998573.0,918224,-80349.0,-8.046382187381393,40.0668505942275,147.3840692865301,20.076503633048567,0.6266918114129674,203,4.308149405772496,4712
