MAZ,TAZ,COUNTY,county_name,PUMA
10017,583,1,San Francisco,7507
10021,618,1,San Francisco,7507
10022,116,1,San Francisco,7507
10024,622,1,San Francisco,7507
10025,623,1,San Francisco,7507
10039,330,1,San Francisco,7507
10049,100,1,San Francisco,7507
10053,553,1,San Francisco,7507
10054,553,1,San Francisco,7507
10062,117,1,San Francisco,7507
10063,188,1,San Francisco,7507
10064,294,1,San Francisco,7507
10065,294,1,San Francisco,7507
10122,42,1,San Francisco,7507
10123,619,1,San Francisco,7507
10124,98,1,San Francisco,7507
10125,98,1,San Francisco,7507
10130,188,1,San Francisco,7507
10190,197,1,San Francisco,7507
10192,314,1,San Francisco,7507
10194,186,1,San Francisco,7507
10195,156,1,San Francisco,7507
10197,315,1,San Francisco,7507
10198,317,1,San Francisco,7507
10241,192,1,San Francisco,7507
10242,626,1,San Francisco,7507
10290,449,1,San Francisco,7507
10411,72,1,San Francisco,7507
10432,239,1,San Francisco,7507
10433,237,1,San Francisco,7507
10434,451,1,San Francisco,7507
10435,189,1,San Francisco,7507
10436,197,1,San Francisco,7507
10437,195,1,San Francisco,7507
10438,156,1,San Francisco,7507
10440,186,1,San Francisco,7507
10441,314,1,San Francisco,7507
10443,315,1,San Francisco,7507
10444,317,1,San Francisco,7507
10445,323,1,San Francisco,7507
10446,323,1,San Francisco,7507
10452,318,1,San Francisco,7507
10463,98,1,San Francisco,7507
10464,623,1,San Francisco,7507
10482,43,1,San Francisco,7507
10483,579,1,San Francisco,7507
10520,98,1,San Francisco,7507
10581,583,1,San Francisco,7507
10590,44,1,San Francisco,7507
10642,98,1,San Francisco,7507
10654,627,1,San Francisco,7507
10655,188,1,San Francisco,7507
10658,188,1,San Francisco,7507
10659,626,1,San Francisco,7507
10660,629,1,San Francisco,7507
10707,316,1,San Francisco,7507
10708,316,1,San Francisco,7507
10711,193,1,San Francisco,7507
10713,194,1,San Francisco,7507
10714,235,1,San Francisco,7507
10716,193,1,San Francisco,7507
10717,196,1,San Francisco,7507
10718,315,1,San Francisco,7507
10720,315,1,San Francisco,7507
10721,233,1,San Francisco,7507
10722,234,1,San Francisco,7507
10727,191,1,San Francisco,7507
10728,191,1,San Francisco,7507
10756,230,1,San Francisco,7507
10760,71,1,San Francisco,7507
10795,184,1,San Francisco,7507
10809,239,1,San Francisco,7507
10810,237,1,San Francisco,7507
10811,319,1,San Francisco,7507
10812,319,1,San Francisco,7507
10813,71,1,San Francisco,7507
10814,42,1,San Francisco,7507
10817,71,1,San Francisco,7507
10818,451,1,San Francisco,7507
10819,42,1,San Francisco,7507
10860,189,1,San Francisco,7507
10861,192,1,San Francisco,7507
10863,625,1,San Francisco,7507
10864,625,1,San Francisco,7507
10865,120,1,San Francisco,7507
10866,121,1,San Francisco,7507
10867,121,1,San Francisco,7507
10868,121,1,San Francisco,7507
10933,187,1,San Francisco,7507
10934,450,1,San Francisco,7507
10936,579,1,San Francisco,7507
10937,579,1,San Francisco,7507
10938,71,1,San Francisco,7507
10939,452,1,San Francisco,7507
10940,189,1,San Francisco,7507
10941,240,1,San Francisco,7507
10947,622,1,San Francisco,7507
10948,623,1,San Francisco,7507
10972,583,1,San Francisco,7507
10975,553,1,San Francisco,7507
10976,553,1,San Francisco,7507
10977,43,1,San Francisco,7507
11018,71,1,San Francisco,7507
11033,583,1,San Francisco,7507
11038,621,1,San Francisco,7507
11039,553,1,San Francisco,7507
11041,43,1,San Francisco,7507
11042,43,1,San Francisco,7507
11044,43,1,San Francisco,7507
11073,330,1,San Francisco,7507
11221,451,1,San Francisco,7507
11222,189,1,San Francisco,7507
11223,311,1,San Francisco,7507
11224,311,1,San Francisco,7507
11225,311,1,San Francisco,7507
11226,311,1,San Francisco,7507
11228,121,1,San Francisco,7507
11239,195,1,San Francisco,7507
11240,314,1,San Francisco,7507
11241,314,1,San Francisco,7507
11242,156,1,San Francisco,7507
11243,314,1,San Francisco,7507
11245,184,1,San Francisco,7507
11269,188,1,San Francisco,7507
11270,188,1,San Francisco,7507
11274,120,1,San Francisco,7507
11287,235,1,San Francisco,7507
11297,449,1,San Francisco,7507
11328,317,1,San Francisco,7507
11353,295,1,San Francisco,7507
11355,623,1,San Francisco,7507
11359,185,1,San Francisco,7507
11391,240,1,San Francisco,7507
11392,319,1,San Francisco,7507
11393,319,1,San Francisco,7507
11399,98,1,San Francisco,7507
11409,236,1,San Francisco,7507
11431,190,1,San Francisco,7507
11432,579,1,San Francisco,7507
11433,452,1,San Francisco,7507
11434,579,1,San Francisco,7507
11435,450,1,San Francisco,7507
11436,452,1,San Francisco,7507
11437,320,1,San Francisco,7507
11438,320,1,San Francisco,7507
11439,240,1,San Francisco,7507
11440,239,1,San Francisco,7507
11441,239,1,San Francisco,7507
11442,239,1,San Francisco,7507
11453,79,1,San Francisco,7507
11459,235,1,San Francisco,7507
11473,310,1,San Francisco,7507
11548,582,1,San Francisco,7507
11549,582,1,San Francisco,7507
11550,583,1,San Francisco,7507
11574,330,1,San Francisco,7507
11590,321,1,San Francisco,7507
11598,184,1,San Francisco,7507
11601,317,1,San Francisco,7507
11610,237,1,San Francisco,7507
11622,583,1,San Francisco,7507
11623,583,1,San Francisco,7507
11631,195,1,San Francisco,7507
11632,195,1,San Francisco,7507
11633,314,1,San Francisco,7507
11634,156,1,San Francisco,7507
11635,185,1,San Francisco,7507
11638,314,1,San Francisco,7507
11640,314,1,San Francisco,7507
11641,314,1,San Francisco,7507
11669,156,1,San Francisco,7507
11670,315,1,San Francisco,7507
11673,323,1,San Francisco,7507
11692,98,1,San Francisco,7507
11693,619,1,San Francisco,7507
11698,615,1,San Francisco,7507
11701,615,1,San Francisco,7507
11703,121,1,San Francisco,7507
11726,318,1,San Francisco,7507
11816,71,1,San Francisco,7507
11817,451,1,San Francisco,7507
11818,42,1,San Francisco,7507
11819,451,1,San Francisco,7507
11820,310,1,San Francisco,7507
11821,311,1,San Francisco,7507
11822,625,1,San Francisco,7507
11823,121,1,San Francisco,7507
11871,583,1,San Francisco,7507
11940,187,1,San Francisco,7507
11941,190,1,San Francisco,7507
11942,579,1,San Francisco,7507
11943,579,1,San Francisco,7507
11944,450,1,San Francisco,7507
11945,450,1,San Francisco,7507
11946,450,1,San Francisco,7507
11947,71,1,San Francisco,7507
11948,450,1,San Francisco,7507
11949,71,1,San Francisco,7507
11950,452,1,San Francisco,7507
11951,71,1,San Francisco,7507
11952,191,1,San Francisco,7507
11953,191,1,San Francisco,7507
11954,191,1,San Francisco,7507
11957,240,1,San Francisco,7507
11961,191,1,San Francisco,7507
12023,44,1,San Francisco,7507
12050,43,1,San Francisco,7507
12052,116,1,San Francisco,7507
12054,43,1,San Francisco,7507
12057,622,1,San Francisco,7507
12070,186,1,San Francisco,7507
12071,240,1,San Francisco,7507
12072,72,1,San Francisco,7507
12073,322,1,San Francisco,7507
12113,616,1,San Francisco,7507
12114,98,1,San Francisco,7507
12245,230,1,San Francisco,7507
12246,237,1,San Francisco,7507
12248,295,1,San Francisco,7507
12251,311,1,San Francisco,7507
12252,311,1,San Francisco,7507
12330,232,1,San Francisco,7507
12331,237,1,San Francisco,7507
12363,236,1,San Francisco,7507
12364,236,1,San Francisco,7507
12365,319,1,San Francisco,7507
12366,310,1,San Francisco,7507
12368,451,1,San Francisco,7507
12369,189,1,San Francisco,7507
12370,192,1,San Francisco,7507
12372,310,1,San Francisco,7507
12373,116,1,San Francisco,7507
12377,121,1,San Francisco,7507
12418,239,1,San Francisco,7507
12419,239,1,San Francisco,7507
12423,98,1,San Francisco,7507
12473,190,1,San Francisco,7507
12474,190,1,San Francisco,7507
12475,191,1,San Francisco,7507
12476,320,1,San Francisco,7507
12488,621,1,San Francisco,7507
12591,294,1,San Francisco,7507
12648,232,1,San Francisco,7507
12649,232,1,San Francisco,7507
12654,117,1,San Francisco,7507
12656,627,1,San Francisco,7507
12657,117,1,San Francisco,7507
12658,117,1,San Francisco,7507
12659,344,1,San Francisco,7507
12660,627,1,San Francisco,7507
12661,122,1,San Francisco,7507
12662,98,1,San Francisco,7507
12701,117,1,San Francisco,7507
12702,631,1,San Francisco,7507
12703,344,1,San Francisco,7507
12704,344,1,San Francisco,7507
12705,627,1,San Francisco,7507
12706,122,1,San Francisco,7507
12707,628,1,San Francisco,7507
12750,295,1,San Francisco,7507
12751,295,1,San Francisco,7507
12753,121,1,San Francisco,7507
12754,295,1,San Francisco,7507
12756,117,1,San Francisco,7507
12757,344,1,San Francisco,7507
12758,344,1,San Francisco,7507
12759,627,1,San Francisco,7507
12760,121,1,San Francisco,7507
12785,626,1,San Francisco,7507
12877,236,1,San Francisco,7507
12878,236,1,San Francisco,7507
12879,240,1,San Francisco,7507
12880,239,1,San Francisco,7507
12881,451,1,San Francisco,7507
12883,42,1,San Francisco,7507
12884,626,1,San Francisco,7507
