MAZ,num_hh,gq_pop,gq_military,gq_university,gq_other
10001.00000,81,0,0,0,0
10002.00000,81,0,0,0,0
10003.00000,53,0,0,0,0
10004.00000,52,0,0,0,0
10005.00000,48,0,0,0,0
10006.00000,49,0,0,0,0
10007.00000,105,0,0,0,0
10009.00000,106,0,0,0,0
10012.00000,70,0,0,0,0
10017.00000,21,0,0,0,0
10018.00000,135,0,0,0,0
10021.00000,20,40,0,0,40
10022.00000,30,19,0,0,19
10023.00000,30,0,0,0,0
10024.00000,51,0,0,0,0
10025.00000,104,0,0,0,0
10030.00000,105,0,0,0,0
10038.00000,140,128,0,0,128
10039.00000,31,0,0,0,0
10044.00000,94,0,0,0,0
10045.00000,94,0,0,0,0
10047.00000,42,0,0,0,0
10048.00000,90,0,0,0,0
10049.00000,40,0,0,0,0
10052.00000,88,0,0,0,0
10053.00000,96,11,0,0,11
10054.00000,95,0,0,0,0
10055.00000,76,5,0,0,5
10056.00000,732,0,0,0,0
10060.00000,100,0,0,0,0
10062.00000,58,0,0,0,0
10063.00000,27,0,0,0,0
10064.00000,105,0,0,0,0
10065.00000,105,0,0,0,0
10071.00000,40,0,0,0,0
10072.00000,40,0,0,0,0
10073.00000,86,0,0,0,0
10074.00000,76,0,0,0,0
10075.00000,76,103,0,0,103
10076.00000,75,0,0,0,0
10077.00000,97,0,0,0,0
10078.00000,32,0,0,0,0
10079.00000,70,0,0,0,0
10084.00000,80,14,0,0,14
10086.00000,67,0,0,0,0
10087.00000,121,7,0,0,7
10094.00000,60,0,0,0,0
10098.00000,77,0,0,0,0
10099.00000,73,0,0,0,0
10101.00000,49,0,0,0,0
10102.00000,53,0,0,0,0
10104.00000,79,0,0,0,0
10107.00000,97,1,0,0,1
10109.00000,114,9,0,0,9
10110.00000,72,0,0,0,0
10111.00000,63,0,0,0,0
10112.00000,89,0,0,0,0
10114.00000,45,0,0,0,0
10116.00000,45,0,0,0,0
10117.00000,52,0,0,0,0
10119.00000,54,0,0,0,0
10122.00000,61,0,0,0,0
10123.00000,21,8,0,0,8
10124.00000,48,0,0,0,0
10125.00000,48,11,0,0,11
10127.00000,202,0,0,0,0
10128.00000,212,0,0,0,0
10130.00000,26,0,0,0,0
10133.00000,34,0,0,0,0
10137.00000,108,22,0,0,22
10138.00000,279,13,0,0,13
10140.00000,86,0,0,0,0
10141.00000,98,13,0,0,13
10142.00000,98,0,0,0,0
10143.00000,81,0,0,0,0
10144.00000,0,21,0,0,21
10147.00000,152,0,0,0,0
10150.00000,106,0,0,0,0
10151.00000,82,0,0,0,0
10153.00000,37,0,0,0,0
10157.00000,95,0,0,0,0
10159.00000,164,1,0,0,1
10160.00000,86,0,0,0,0
10161.00000,85,0,0,0,0
10162.00000,41,0,0,0,0
10163.00000,50,0,0,0,0
10164.00000,146,0,0,0,0
10165.00000,78,0,0,0,0
10167.00000,106,0,0,0,0
10168.00000,78,0,0,0,0
10169.00000,73,0,0,0,0
10170.00000,79,5,0,0,5
10172.00000,87,0,0,0,0
10173.00000,160,0,0,0,0
10179.00000,59,0,0,0,0
10180.00000,60,0,0,0,0
10181.00000,118,0,0,0,0
10184.00000,45,0,0,0,0
10185.00000,70,68,68,0,0
10186.00000,70,0,0,0,0
10187.00000,55,0,0,0,0
10190.00000,45,0,0,0,0
10192.00000,87,0,0,0,0
10193.00000,78,0,0,0,0
10194.00000,40,0,0,0,0
10195.00000,73,11,0,0,11
10197.00000,71,0,0,0,0
10198.00000,108,0,0,0,0
10200.00000,83,0,0,0,0
10201.00000,33,0,0,0,0
10202.00000,134,0,0,0,0
10203.00000,62,0,0,0,0
10204.00000,62,0,0,0,0
10206.00000,52,0,0,0,0
10207.00000,73,0,0,0,0
10208.00000,41,0,0,0,0
10209.00000,43,0,0,0,0
10210.00000,54,0,0,0,0
10211.00000,70,0,0,0,0
10212.00000,56,0,0,0,0
10213.00000,47,0,0,0,0
10214.00000,46,0,0,0,0
10215.00000,76,0,0,0,0
10218.00000,103,0,0,0,0
10219.00000,70,111,0,0,111
10222.00000,164,14,0,0,14
10223.00000,53,0,0,0,0
10224.00000,38,0,0,0,0
10225.00000,68,7,0,0,7
10226.00000,43,0,0,0,0
10227.00000,65,0,0,0,0
10228.00000,70,0,0,0,0
10229.00000,53,0,0,0,0
10230.00000,51,0,0,0,0
10231.00000,51,0,0,0,0
10232.00000,50,0,0,0,0
10233.00000,58,0,0,0,0
10234.00000,51,0,0,0,0
10235.00000,50,0,0,0,0
10236.00000,80,0,0,0,0
10241.00000,21,0,0,0,0
10242.00000,145,0,0,0,0
10247.00000,42,0,0,0,0
10248.00000,74,0,0,0,0
10249.00000,53,0,0,0,0
10250.00000,127,0,0,0,0
10251.00000,50,0,0,0,0
10252.00000,40,0,0,0,0
10253.00000,58,17,0,0,17
10254.00000,72,0,0,0,0
10255.00000,63,0,0,0,0
10256.00000,72,0,0,0,0
10257.00000,73,4,0,0,4
10258.00000,52,0,0,0,0
