control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_balanced_weight,TAZ_integer_weight,MAZ_balanced_weight,MAZ_integer_weight
numhh_gq,743515,743509.7781818407,743509.8958761777,743515.0,743509.8958761776,743831,743509.8958761777,743752
gq_pop,39606,23326.747643380004,23326.996123475437,23329.0,23326.996123475437,23061,23326.996123475437,21940
gq_military,0,98.25434787343963,98.26467623123199,97.0,98.264676231232,99,98.264676231232,10
gq_university,19440,334.77341587153717,334.77474798411856,334.0,334.77474798411845,322,334.77474798411845,318
gq_other,20166,22991.974227508468,22992.221375491325,22995.0,22992.22137549132,22739,22992.22137549132,21622
hh_size_1,151967,168096.23532443366,168310.6596355854,168310.0,168310.65963558538,169181,168310.65963558544,170074
hh_size_2,219174,235088.37592749405,235086.63279648338,235088.0,235086.6327964834,233785,235086.6327964834,233997
hh_size_3,129724,137073.1739318062,136975.076079948,136975.0,136975.07607994802,136868,136975.076079948,136270
hh_size_4_plus,193628,203251.9929981069,203137.52736416087,203142.0,203137.52736416084,203997,203137.52736416084,203411
hh_wrks_0,122446,127998.2481753516,131196.63517339798,131198.0,131196.63517339798,130955,131196.63517339798,131108
hh_wrks_1,260698,268377.32694666076,269008.35382307216,269006.0,269008.3538230722,268565,269008.35382307216,268642
hh_wrks_2,237510,244440.0552173595,241338.76600865516,241334.0,241338.7660086552,240730,241338.7660086552,240481
hh_wrks_3_plus,73845,73839.08462177216,73735.39771368807,73742.0,73735.39771368809,74219,73735.39771368809,74009
pers_age_00_19,447711,447781.7850858699,447790.6916669277,447799.0,447790.6916669277,449569,447790.6916669277,448804
pers_age_20_34,420333,424798.11532374006,424922.4999970327,424933.0,424922.4999970327,426101,424922.4999970327,426929
pers_age_35_64,760596,767994.3428769559,768484.6707572654,768486.0,768484.6707572655,768764,768484.6707572655,766666
pers_age_65_plus,273813,277145.509177541,277936.75908262306,277937.0,277936.7590826231,277393,277936.7590826231,276550
hh_kids_yes,230719,246845.38435891364,246835.03010434713,246836.0,246835.03010434718,246956,246835.03010434716,245982
hh_kids_no,463775,496664.39382292726,496674.86577183043,496679.0,496674.86577183055,496875,496674.86577183055,497770
pers_occ_management,138495,216926.89469349623,143708.67665889583,143705.0,143708.6766588958,143978,143708.6766588958,143382
pers_occ_professional,414841,403505.0531734493,431829.41651888035,431836.0,431829.4165188803,431264,431829.4165188803,431206
pers_occ_services,176013,120566.42980965532,180791.08817091427,180801.0,180791.08817091424,181228,180791.08817091424,181145
pers_occ_retail,113310,144523.00106292174,116694.99252235082,116697.0,116694.99252235082,117079,116694.99252235083,117046
pers_occ_manual_military,157832,118216.47013547645,161553.70152013467,161556.0,161553.7015201347,161920,161553.7015201347,161745
inc_lt_20k,41580,42616.2869800336,42339.553872138786,42342.0,42339.5538721388,42349,42339.5538721388,42398
inc_20k_45k,53997,55631.83402466204,55386.472991221795,55381.0,55386.47299122179,55411,55386.47299122179,55519
inc_45k_60k,33111,34124.41541451019,33927.71192626652,33926.0,33927.71192626652,33915,33927.71192626652,34155
inc_60k_75k,34807,35826.844583620135,35653.59334384158,35653.0,35653.59334384159,35607,35653.59334384159,35715
inc_75k_100k,57369,59168.81222157612,58935.82840898115,58940.0,58935.82840898115,58969,58935.82840898114,58997
inc_100k_150k,105793,108736.26144137653,108273.60845326497,108274.0,108273.60845326495,108210,108273.60845326497,108322
inc_150k_200k,88525,90337.9139721374,89995.51145459537,89988.0,89995.51145459534,89949,89995.51145459534,89796
inc_200k_plus,279309,287432.6914819016,285421.884667797,285429.0,285421.8846677969,284593,285421.8846677969,283870
