MAZ,num_hh,total_pop
10001,62,130
10002,72,157
10003,77,112
10004,81,168
10005,70,161
10006,108,195
10007,196,373
10009,45,119
10012,340,660
10017,0,0
10018,0,45
10021,10,69
10022,36,127
10023,16,32
10024,61,159
10025,33,102
10030,216,406
10038,700,896
10039,97,276
10044,57,163
10045,61,174
10047,63,149
10048,82,299
10049,71,211
10052,25,103
10053,31,160
10054,62,219
10055,59,84
10056,469,839
10060,0,0
10062,54,152
10063,33,115
10064,0,0
10065,8,85
10071,38,107
10072,35,69
10073,80,170
10074,148,194
10075,118,286
10076,11,14
10077,102,192
10078,1,27
10079,284,581
10084,48,182
10086,0,0
10087,0,7
10094,100,221
10098,97,230
10099,75,179
10101,70,183
10102,102,250
10104,44,82
10107,97,210
10109,101,185
10110,341,685
10111,165,317
10112,133,248
10114,84,192
10116,114,195
10117,423,910
10119,93,286
10122,117,378
10123,0,8
10124,25,76
10125,57,206
10127,200,274
10128,339,620
10130,0,0
10133,73,191
10137,248,405
10138,443,638
10140,181,283
10141,121,253
10142,169,283
10143,185,291
10144,4,44
10147,548,1455
10150,73,129
10151,0,0
10153,0,0
10157,154,266
10159,4,30
10160,172,243
10161,155,223
10162,184,245
10163,106,136
10164,73,142
10165,144,224
10167,178,294
10168,95,201
10169,68,134
10170,0,5
10172,212,364
10173,113,167
10179,188,292
10180,62,140
10181,64,92
10184,36,78
10185,2,68
10186,0,0
10187,132,278
10190,73,188
10192,43,130
10193,58,148
10194,40,112
10195,51,141
10197,58,157
10198,89,270
10200,131,191
10201,44,90
10202,97,209
10203,21,47
10204,46,107
10206,57,149
10207,61,136
10208,54,147
10209,64,190
10210,187,389
10211,100,212
10212,110,234
10213,74,159
10214,105,229
10215,215,386
10218,73,110
10219,721,2195
10222,0,14
10223,89,213
10224,58,155
10225,72,189
10226,51,163
10227,51,157
10228,61,135
10229,53,164
10230,76,168
10231,66,175
10232,33,62
10233,14,44
10234,74,178
10235,35,82
10236,45,109
10241,39,141
10242,47,191
10247,61,111
10248,78,146
10249,38,80
10250,109,244
10251,90,200
10252,69,140
10253,51,152
10254,177,365
10255,115,239
10256,131,246
10257,68,194
10258,68,179
10259,0,7
10260,3,14
10261,0,89
10262,311,408
10263,0,0
10265,593,974
10266,138,245
10268,158,237
10269,101,128
10270,119,248
10271,100,180
10272,133,262
10273,174,303
10274,141,367
10275,16,21
10276,0,0
10277,17,142
10278,106,349
10279,261,385
10280,38,80
10281,87,271
10282,0,37
10283,27,41
10284,80,128
10287,48,119
10288,60,212
10289,71,148
10290,70,213
10292,103,267
10295,43,66
10300,128,313
10302,111,207
10308,339,420
10309,133,281
10310,51,109
10312,109,272
10313,87,196
10315,29,82
10316,88,185
10317,94,213
10321,94,210
10322,57,103
10323,62,158
10324,64,149
10325,53,115
10326,66,171
10327,81,209
10328,62,166
10329,65,157
10330,66,168
10331,75,192
10333,87,199
10334,149,276
10335,145,313
10336,64,137
10337,59,158
10338,76,174
10340,74,170
10341,63,169
10344,93,216
10347,19,56
10349,49,141
10350,23,53
10351,30,65
10352,75,201
10353,173,399
10355,153,223
10358,116,232
10359,92,264
10368,81,114
10369,0,0
10370,0,0
10372,123,187
10373,190,247
10375,141,189
10376,160,288
10377,0,0
10378,164,286
10380,543,1130
10384,76,169
10385,153,262
10386,100,185
10388,698,1341
10390,348,600
10392,167,291
10394,103,193
10395,0,0
10398,449,704
10399,14,47
10400,78,182
10401,197,346
10402,21,69
10403,85,202
10405,87,176
10411,49,232
10413,152,277
10414,133,291
10416,130,249
10417,123,233
10418,141,257
10419,134,235
10420,117,221
10421,63,121
10424,55,199
10425,89,191
10427,22,82
10428,29,65
10429,56,143
10430,52,150
10431,32,73
10432,55,201
10433,42,226
10434,42,106
10435,45,120
10436,64,169
10437,59,197
10438,165,476
10440,43,142
10441,87,269
10443,62,169
10444,47,136
10445,231,751
10446,97,352
10447,0,0
10450,34,66
10452,36,128
10454,551,1048
10455,16,26
10456,567,1642
10457,197,432
10458,25,37
10460,37,46
10462,240,440
10463,36,127
10464,45,144
10466,67,194
10467,56,171
10468,123,251
10469,80,169
10470,88,254
10472,36,104
10473,75,151
10474,111,208
10476,0,88
10477,69,154
10482,0,10
10483,0,3
10484,166,306
10486,149,276
10487,187,288
10488,54,95
10489,140,186
10490,232,352
10493,191,286
10494,76,141
10496,203,295
10498,204,357
10499,247,334
10501,214,351
10503,145,265
10504,93,196
10507,102,174
10508,82,168
10509,102,173
10512,913,1435
10514,137,230
10515,124,243
10517,53,101
10518,125,216
10519,60,150
10520,0,0
10523,160,292
10524,82,192
10525,85,183
10526,112,245
10527,150,271
10528,67,200
10529,76,167
10530,60,168
10532,413,554
10535,183,304
10536,102,195
10538,97,188
10539,88,158
10540,94,147
10541,93,196
10542,52,126
10543,127,283
10544,56,96
10546,36,107
10547,31,82
10549,10,15
10551,56,101
10552,64,100
10553,161,270
10554,218,410
10555,233,358
10564,106,153
10566,69,140
10567,153,256
10572,0,2
10573,150,201
10575,0,0
10576,73,200
10581,0,0
10582,0,0
10585,96,197
10586,106,230
10587,140,340
10590,122,340
10593,0,0
10594,98,183
10595,114,172
10596,140,216
10597,21,65
10598,61,121
10600,0,0
10601,156,194
10602,163,265
10604,75,134
10605,43,113
10606,85,157
10607,51,164
10608,60,148
10609,0,0
10610,25,100
10611,120,174
10612,338,624
10613,43,100
10614,88,139
10627,45,123
10628,35,89
10632,112,171
10635,77,162
10637,120,225
10642,31,101
10646,143,217
10649,288,450
10650,329,593
10654,73,98
10655,39,125
10658,0,0
10659,51,227
10660,37,173
10665,54,139
10666,39,85
10667,34,137
10668,72,153
10669,72,188
10670,89,186
10671,89,190
10675,1679,2417
10677,88,133
10680,25,116
10681,140,285
10683,22,63
10684,31,72
10685,45,90
10686,27,78
10693,110,180
10695,94,178
10696,0,0
10697,105,216
10698,123,250
10699,82,151
10700,19,93
10701,59,148
10702,2,28
10703,0,1
10704,47,81
10705,61,130
10706,116,262
10707,65,243
10708,73,235
10711,44,151
10713,72,217
10714,77,276
10716,39,131
10717,68,200
10718,70,248
10720,62,206
10721,54,173
10722,72,231
10724,196,318
10725,66,205
10726,122,339
10727,38,88
10728,39,106
10731,0,0
10734,168,405
10735,0,0
10736,10,19
10743,50,147
10744,110,296
10745,67,113
10750,35,105
10751,61,132
10753,52,152
10754,58,150
10756,59,212
10760,67,185
10761,59,163
10762,166,339
10763,130,265
10764,150,368
10765,68,131
10766,59,106
10767,62,152
10768,146,253
10769,37,179
10770,205,355
10771,151,277
10772,99,207
10773,136,232
10774,105,249
10775,65,124
10776,25,85
10780,33,71
10782,68,138
10783,49,149
10786,29,66
10787,0,19
10790,40,110
10791,44,94
10793,318,496
10795,48,189
10798,34,137
10801,100,261
10803,135,398
10805,27,65
10806,44,95
10809,4,42
10810,98,292
10811,54,231
10812,41,200
10813,50,132
10814,208,655
10817,53,171
10818,52,170
10819,69,269
10822,2,12
10823,40,100
10834,103,217
10835,67,180
10837,151,301
10838,119,273
10839,0,0
10840,0,0
10843,54,105
10847,80,117
10848,96,188
10849,106,191
10850,88,156
10851,98,228
10852,117,194
10853,228,483
10854,31,154
10856,223,437
10857,174,347
10858,60,102
10859,84,192
10860,48,173
10861,37,115
10863,708,1359
10864,20,80
10865,54,180
10866,51,188
10867,59,176
10868,35,109
10871,256,502
