MAZ_NODE,numhh_gq,gq_type_univ,gq_type_noninst
10001,55,0,0
10002,64,0,0
10003,69,0,0
10004,72,0,0
10005,62,0,0
10006,96,0,0
10007,175,0,0
10009,40,0,0
10012,303,0,0
10017,0,0,0
10018,0,0,0
10021,49,0,40
10022,51,0,19
10023,14,0,0
10024,54,0,0
10025,29,0,0
10030,192,0,0
10038,752,0,128
10039,86,0,0
10044,51,0,0
10045,55,0,0
10047,56,0,0
10048,73,0,0
10049,63,0,0
10052,22,0,0
10053,38,0,11
10054,55,0,0
10055,57,0,5
10056,417,0,0
10060,0,0,0
10062,48,0,0
10063,30,0,0
10064,0,0,0
10065,7,0,0
10071,34,0,0
10072,31,0,0
10073,70,0,0
10074,131,0,0
10075,105,0,0
10076,10,0,0
10077,91,0,0
10078,1,0,0
10079,253,0,0
10084,57,0,14
10086,0,0,0
10087,7,0,7
10094,89,0,0
10098,86,0,0
10099,66,0,0
10101,63,0,0
10102,91,0,0
10104,39,0,0
10107,87,0,1
10109,99,0,9
10110,304,0,0
10111,146,0,0
10112,118,0,0
10114,75,0,0
10116,101,0,0
10117,376,0,0
10119,83,0,0
10122,104,0,0
10123,8,0,8
10124,23,0,0
10125,62,0,11
10127,178,0,0
10128,301,0,0
10130,0,0,0
10133,65,0,0
10137,242,0,22
10138,407,0,13
10140,161,0,0
10141,121,0,13
10142,150,0,0
10143,165,0,0
10144,25,0,21
10147,488,0,0
10150,65,0,0
10151,0,0,0
10153,0,0,0
10157,137,0,0
10159,4,0,1
10160,153,0,0
10161,138,0,0
10162,164,0,0
10163,95,0,0
10164,65,0,0
10165,128,0,0
10167,159,0,0
10168,85,0,0
10169,60,0,0
10170,5,0,5
10172,188,0,0
10173,100,0,0
10179,167,0,0
10180,55,0,0
10181,57,0,0
10184,32,0,0
10185,2,0,0
10186,0,0,0
10187,118,0,0
10190,65,0,0
10192,38,0,0
10193,51,0,0
10194,35,0,0
10195,55,0,11
10197,51,0,0
10198,79,0,0
10200,117,0,0
10201,39,0,0
10202,86,0,0
10203,18,0,0
10204,41,0,0
10206,50,0,0
10207,54,0,0
10208,48,0,0
10209,57,0,0
10210,166,0,0
10211,89,0,0
10212,97,0,0
10213,66,0,0
10214,94,0,0
10215,192,0,0
10218,65,0,0
10219,738,0,97
10222,14,0,14
10223,79,0,0
10224,51,0,0
10225,64,0,0
10226,45,0,0
10227,45,0,0
10228,54,0,0
10229,47,0,0
10230,67,0,0
10231,59,0,0
10232,29,0,0
10233,12,0,0
10234,65,0,0
10235,31,0,0
10236,40,0,0
10241,35,0,0
10242,42,0,0
10247,54,0,0
10248,69,0,0
10249,34,0,0
10250,96,0,0
10251,80,0,0
10252,61,0,0
10253,63,0,17
10254,157,0,0
10255,102,0,0
10256,116,0,0
10257,64,0,4
10258,61,0,0
10259,7,0,7
10260,3,0,0
10261,51,0,51
10262,277,0,0
10263,0,0,0
10265,587,0,60
10266,123,0,0
10268,186,0,46
10269,105,0,15
10270,106,0,0
10271,97,0,8
10272,119,0,0
10273,163,0,8
10274,125,0,0
10275,14,0,0
10276,0,0,0
10277,107,0,92
10278,104,0,10
10279,232,0,0
10280,43,0,9
10281,78,0,0
10282,37,0,37
10283,24,0,0
10284,71,0,0
10287,42,0,0
10288,54,0,0
10289,63,0,0
10290,78,0,16
10292,91,0,0
10295,38,0,0
10300,113,0,0
10302,99,0,0
10308,302,0,0
10309,118,0,0
10310,45,0,0
10312,97,0,0
10313,77,0,0
10315,26,0,0
10316,79,0,0
10317,84,0,0
10321,84,0,0
10322,51,0,0
10323,55,0,0
10324,57,0,0
10325,47,0,0
10326,59,0,0
10327,72,0,0
10328,56,0,0
10329,58,0,0
10330,58,0,0
10331,67,0,0
10333,77,0,0
10334,132,0,0
10335,129,0,0
10336,57,0,0
10337,52,0,0
10338,67,0,0
10340,66,0,0
10341,56,0,0
10344,82,0,0
10347,17,0,0
10349,44,0,0
10350,21,0,0
10351,27,0,0
10352,67,0,0
10353,154,0,0
10355,136,0,0
10358,103,0,0
10359,82,0,0
10368,72,0,0
10369,0,0,0
10370,0,0,0
10372,109,0,0
10373,169,0,0
10375,126,0,0
10376,142,0,0
10377,0,0,0
10378,146,0,0
10380,483,0,0
10384,67,0,0
10385,136,0,0
10386,89,0,0
10388,793,172,0
10390,310,0,0
10392,149,0,0
10394,93,0,1
10395,0,0,0
10398,418,0,19
10399,13,0,0
10400,70,0,0
10401,175,0,0
10402,18,0,0
10403,75,0,0
10405,77,0,0
10411,44,0,0
10413,135,0,0
10414,118,0,0
10416,116,0,0
10417,109,0,0
10418,125,0,0
10419,119,0,0
10420,104,0,0
10421,56,0,0
10424,49,0,0
10425,79,0,0
10427,20,0,0
10428,25,0,0
10429,50,0,0
10430,46,0,0
10431,29,0,0
10432,61,0,12
10433,38,0,0
10434,37,0,0
10435,40,0,0
10436,57,0,0
10437,53,0,0
10438,147,0,0
10440,38,0,0
10441,77,0,0
10443,56,0,0
10444,42,0,0
10445,206,0,0
10446,86,0,0
10447,0,0,0
10450,31,0,0
10452,32,0,0
10454,672,0,182
10455,24,0,9
10456,1349,0,845
10457,254,0,80
10458,22,0,0
10460,34,0,1
10462,214,0,0
10463,32,0,0
10464,40,0,0
10466,60,0,0
10467,50,0,0
10468,110,0,0
10469,71,0,0
10470,78,0,0
10472,32,0,0
10473,67,0,0
10474,99,0,0
10476,88,0,88
10477,62,0,0
10482,10,0,10
10483,3,0,3
10484,148,0,0
10486,133,0,0
10487,166,0,0
10488,48,0,0
10489,125,0,0
10490,206,0,0
10493,170,0,0
10494,93,8,18
10496,180,0,0
10498,182,0,0
10499,219,0,0
10501,190,0,0
10503,129,0,0
10504,83,0,0
10507,91,0,0
10508,73,0,0
10509,91,0,0
10512,812,0,0
10514,125,0,4
10515,156,0,44
10517,53,0,6
10518,111,0,0
10519,53,0,0
10520,0,0,0
10523,142,0,0
10524,74,0,0
10525,76,0,0
10526,100,0,0
10527,133,0,0
10528,59,0,0
10529,68,0,0
10530,58,0,5
10532,367,0,0
10535,163,0,0
10536,90,0,0
10538,86,0,0
10539,82,0,4
10540,83,0,0
10541,82,0,0
10542,46,0,0
10543,114,0,0
10544,50,0,0
10546,32,0,0
10547,28,0,0
10549,9,0,0
10551,50,0,0
10552,61,0,4
10553,143,0,0
10554,194,0,0
10555,208,0,0
10564,94,0,0
10566,68,0,7
10567,137,0,0
10572,2,0,2
10573,133,0,0
10575,0,0,0
10576,65,0,0
10581,0,0,0
10582,0,0,0
10585,85,0,0
10586,94,0,0
10587,124,0,0
10590,109,0,0
10593,0,0,0
10594,89,0,2
10595,101,0,0
10596,125,0,0
10597,18,0,0
10598,55,0,0
10600,0,0,0
10601,138,0,0
10602,145,0,0
10604,66,0,0
10605,38,0,0
10606,76,0,0
10607,45,0,0
10608,54,0,0
10609,0,0,0
10610,22,0,0
10611,107,0,0
10612,301,0,0
10613,38,0,0
10614,78,0,0
10627,40,0,0
10628,31,0,0
10632,100,0,0
10635,83,0,15
10637,107,0,0
10642,28,0,0
10646,127,0,0
10649,256,0,0
10650,293,0,0
10654,65,0,0
10655,52,0,18
10658,0,0,0
10659,95,0,50
10660,50,0,18
10665,48,0,0
10666,35,0,0
10667,30,0,0
10668,64,0,0
10669,64,0,0
10670,79,0,0
10671,95,0,16
10675,1582,0,89
10677,78,0,0
10680,42,0,20
10681,124,0,0
10683,20,0,0
10684,27,0,0
10685,40,0,0
10686,24,0,0
10693,98,0,0
10695,84,0,0
10696,0,0,0
10697,93,0,0
10698,110,0,0
10699,85,0,12
10700,19,0,2
10701,53,0,0
10702,1,0,0
10703,0,0,0
10704,42,0,0
10705,54,0,0
10706,146,0,43
10707,58,0,0
10708,65,0,0
10711,39,0,0
10713,64,0,0
10714,68,0,0
10716,35,0,0
10717,60,0,0
10718,62,0,0
10720,55,0,0
10721,48,0,0
10722,64,0,0
10724,174,0,0
10725,59,0,0
10726,109,0,0
10727,33,0,0
10728,35,0,0
10731,0,0,0
10734,149,0,0
10735,0,0,0
10736,9,0,0
10743,45,0,0
10744,98,0,0
10745,59,0,0
10750,31,0,0
10751,54,0,0
10753,47,0,0
10754,52,0,0
10756,52,0,0
10760,60,0,0
10761,53,0,0
10762,148,0,0
10763,115,0,0
10764,133,0,0
10765,60,0,0
10766,52,0,0
10767,64,0,9
10768,129,0,0
10769,142,0,109
10770,182,0,0
10771,134,0,0
10772,88,0,0
10773,121,0,0
10774,94,0,0
10775,58,0,0
10776,22,0,0
10780,29,0,0
10782,61,0,0
10783,44,0,0
10786,25,0,0
10787,0,0,0
10790,36,0,0
10791,39,0,0
10793,283,0,0
10795,42,0,0
10798,41,0,11
10801,89,0,0
10803,120,0,0
10805,24,0,0
10806,39,0,0
10809,3,0,0
10810,86,0,0
10811,48,0,0
10812,39,0,3
