control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_balanced_weight,TAZ_integer_weight,MAZ_balanced_weight,MAZ_integer_weight
numhh_gq,700120,700115.5886617886,700115.2973804893,700120.0,700115.2973804893,700633,700115.2973804893,700989
gq_pop,53827,28673.498677360854,28674.30401563948,28673.0,28674.30401563948,28237,28674.30401563948,27330
gq_military,421,281.59999911226697,281.5998871451497,281.0,281.5998871451497,211,281.5998871451497,122
gq_university,17463,785.0943968743937,785.0901558098462,784.0,785.0901558098465,765,785.0901558098466,750
gq_other,35943,27888.40428048646,27889.21385982964,27889.0,27889.213859829637,27472,27889.213859829637,26580
hh_size_1,170547,191797.9208658184,192524.9663639672,192522.0,192524.96636396716,191685,192524.96636396716,191405
hh_size_2,208072,218931.7567955781,219192.49062934995,219197.0,219192.49062934992,218894,219192.49062934992,219280
hh_size_3,118565,118462.23584424528,118302.84556923615,118305.0,118302.84556923615,118673,118302.84556923615,118769
hh_size_4_plus,174110,170923.6751561467,170094.99481793607,170096.0,170094.9948179361,171381,170094.9948179361,171535
hhinc_0_14,58285,58668.72918360196,58624.78846212175,58624.0,58624.78846212176,58105,58624.78846212176,58336
hhinc_14_30,66423,66886.16921097458,66817.65358578038,66814.0,66817.6535857804,66468,66817.6535857804,66447
hhinc_45_60,39650,39640.71806911919,39603.781199157485,39605.0,39603.7811991575,39656,39603.7811991575,39761
hhinc_60_75,41217,41125.783599129085,41094.84159960376,41094.0,41094.841599603766,41035,41094.841599603766,41020
hhinc_75_100,120482,119669.86735180052,119584.1114791522,119585.0,119584.11147915221,119153,119584.11147915221,119230
hhinc_125_150,49929,49377.27480850995,49350.88122143314,49352.0,49350.881221433156,49228,49350.881221433156,49394
hhinc_150_200,82349,80532.60407590598,80491.04177943393,80490.0,80491.04177943393,80621,80491.04177943393,80769
hhinc_200_plus,212965,204518.17336265667,204436.31690726662,204434.0,204436.31690726665,203528,204436.31690726665,203808
hh_wrks_0,142240,142706.90378889412,146400.7714178958,146401.0,146400.77141789586,145804,146400.77141789586,146348
hh_wrks_1,247207,246982.2438483705,248127.28128354222,248127.0,248127.28128354222,248096,248127.28128354222,248248
hh_wrks_2,220915,216800.93602584826,213534.7827629691,213537.0,213534.78276296915,213461,213534.78276296915,214051
hh_wrks_3_plus,60945,60898.20215060365,60806.05598698254,60806.0,60806.055986982545,61489,60806.055986982545,61366
pers_age_00_19,370538,370597.80935872893,370616.843420992,370622.0,370616.843420992,373100,370616.843420992,373446
pers_age_20_34,352416,366923.76040440483,367177.4586150962,367187.0,367177.45861509634,369046,367177.45861509634,369452
pers_age_35_64,682255,705890.0392114716,707028.0993006421,707026.0,707028.0993006424,708892,707028.0993006424,709475
pers_age_65_plus,246870,255795.63877307373,256617.10311198738,256624.0,256617.1031119874,257211,256617.1031119874,257427
hh_kids_yes,216414,222782.5180170021,222768.59140734596,222771.0,222768.59140734593,223410,222768.59140734593,223452
hh_kids_no,454879,477333.0706447864,477346.70597314334,477349.0,477346.70597314334,477223,477346.70597314334,477537
pers_occ_management,118550,213633.82331146835,123529.78554448616,123530.0,123529.78554448616,124437,123529.78554448616,124829
pers_occ_professional,310736,338229.89705952385,323821.23372779955,323826.0,323821.23372779955,323901,323821.23372779955,324479
pers_occ_services,179274,93577.28514438529,186853.4609354612,186857.0,186853.46093546125,187141,186853.46093546122,186816
pers_occ_retail,100882,127448.04825222016,103399.83857111572,103401.0,103399.83857111573,104218,103399.83857111573,104292
pers_occ_manual_military,154661,106320.99619973049,160618.03328207548,160620.0,160618.03328207546,161146,160618.03328207546,160922
