control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_NODE_balanced_weight,TAZ_NODE_integer_weight,MAZ_NODE_balanced_weight,MAZ_NODE_integer_weight
numhh_gq,56033.0,56007.279140083905,56007.294270909435,56033.0,56007.29427090942,56033,56007.29427090942,56033
hh_gq_university,659.0,670.1682790684571,670.4011426419552,670.0,670.4011426419552,658,670.4011426419552,632
hh_gq_noninstitutional,2473.0,2514.4976503859757,2515.8035247044845,2516.0,2515.8035247044845,2493,2515.8035247044845,2394
hh_size_1,15656.0,16937.160292295757,16917.08710869664,16921.0,16917.08710869664,16841,16917.08710869664,16805
hh_size_2,17821.0,18935.75364974409,18936.302638484027,18946.0,18936.302638484023,18942,18936.302638484023,18944
hh_size_3,7408.0,7751.226487054367,7758.2694950053965,7764.0,7758.269495005396,7788,7758.269495005396,7804
hh_size_4,6876.0,7081.871455908497,7088.000561298791,7092.0,7088.000561298792,7128,7088.000561298792,7142
hh_size_5,3279.0,3321.444879596677,3326.829523434598,3328.0,3326.829523434598,3354,3326.829523434598,3348
hh_size_6_plus,2034.0,1979.8223754845167,1980.8049439899778,1982.0,1980.8049439899778,1980,1980.8049439899778,1990
hh_wrks_0,13116.0,13955.15540945804,14075.664349015082,14080.0,14075.664349015078,14091,14075.664349015078,14138
hh_wrks_1,16995.0,18074.147838662306,18098.849525847614,18108.0,18098.849525847618,18102,18098.849525847618,18116
hh_wrks_2,14840.0,15767.12384179997,15686.811070461157,15697.0,15686.811070461159,15709,15686.811070461159,15749
hh_wrks_3_plus,4755.0,5026.186120709156,4959.764658239132,4962.0,4959.764658239132,4980,4959.764658239132,5004
pers_age_00_19,30346.0,30397.71372517843,30397.320173236647,30410.0,30397.320173236658,30485,30397.320173236658,30540
pers_age_20_34,24405.0,24449.23176308497,24441.459869868355,24457.0,24441.459869868355,24510,24441.459869868355,24498
pers_age_35_64,53390.0,53495.17052169864,53485.75313022849,53512.0,53485.75313022849,53596,53485.75313022849,53653
pers_age_65_plus,28037.0,28090.797375477094,28086.622826333594,28103.0,28086.622826333598,28118,28086.622826333598,28133
hh_kids_yes,14471.0,15230.291027270858,15222.08902925216,15227.0,15222.089029252162,15267,15222.08902925216,15334
hh_kids_no,35650.0,37592.322183358614,37599.00057431082,37620.0,37599.00057431082,37615,37599.00057431082,37673
pers_occ_management,9298.0,12972.569098686798,9388.470007124492,9394.0,9388.470007124492,9397,9388.470007124493,9404
pers_occ_professional,15300.0,15039.56495593685,15435.28195571927,15445.0,15435.28195571927,15461,15435.28195571927,15483
pers_occ_services,14844.0,12824.39191933865,14962.438104622322,14969.0,14962.43810462232,15004,14962.43810462232,14994
pers_occ_retail,11010.0,12445.77370931112,11083.702302620395,11092.0,11083.702302620395,11120,11083.702302620397,11110
pers_occ_manual_military,17707.0,14714.314849687073,17841.95639038186,17848.0,17841.956390381856,17873,17841.956390381856,17883
inc_lt_20k,3779.0,3975.959423025177,3974.7295713417793,3976.0,3974.729571341779,3973,3974.729571341779,3988
inc_20k_45k,5932.0,6239.951700400664,6237.390032135279,6239.0,6237.390032135281,6240,6237.390032135281,6248
inc_45k_60k,4312.0,4534.1729815292965,4532.443459038603,4533.0,4532.443459038603,4517,4532.443459038603,4522
inc_60k_75k,3329.0,3499.813802593483,3499.130700003285,3501.0,3499.130700003285,3494,3499.130700003285,3503
inc_75k_100k,5781.0,6075.582118862335,6074.672881385404,6078.0,6074.672881385404,6093,6074.672881385404,6096
inc_100k_150k,9229.0,9708.959067131394,9702.787980014851,9708.0,9702.787980014851,9714,9702.787980014851,9712
inc_150k_200k,6528.0,6867.254559527647,6859.463245590358,6865.0,6859.463245590358,6867,6859.463245590358,6873
inc_200k_plus,11234.0,11800.53523839563,11774.042863276774,11780.0,11774.042863276774,11794,11774.042863276774,11791
