process,pid,rss,full_rss,uss,event,children,time
MainProcess,21108,98_398_208,98_398_208,65_433_600,pipeline.run before preload_injectables,0,2025/08/24 22:58:35.162568
MainProcess,21108,98_676_736,98_676_736,65_564_672,pipeline.run after preload_injectables,0,2025/08/24 22:58:35.180118
MainProcess,21108,98_832_384,98_832_384,65_564_672,pipeline.run_model input_pre_processor start,0,2025/08/24 22:58:35.196703
MainProcess,21108,1_348_493_312,1_348_493_312,1_319_100_416,pipeline.run_model input_pre_processor finished,0,2025/08/24 22:58:43.283324
MainProcess,21108,1_382_244_352,1_382_244_352,1_352_810_496,pipeline.run after input_pre_processor,0,2025/08/24 22:58:46.221209
MainProcess,21108,1_382_256_640,1_382_256_640,1_352_937_472,pipeline.run_model setup_data_structures start,0,2025/08/24 22:58:46.248330
MainProcess,21108,1_402_085_376,1_402_085_376,1_372_581_888,pipeline.run_model setup_data_structures finished,0,2025/08/24 22:58:49.011584
MainProcess,21108,1_408_692_224,1_408_692_224,1_380_196_352,pipeline.run after setup_data_structures,0,2025/08/24 22:58:51.869481
MainProcess,21108,1_409_703_936,1_409_703_936,1_380_196_352,pipeline.run_model initial_seed_balancing start,0,2025/08/24 22:58:51.893656
MainProcess,21108,1_411_620_864,1_411_620_864,1_383_006_208,pipeline.run_model initial_seed_balancing finished,0,2025/08/24 23:02:39.115768
MainProcess,21108,1_412_612_096,1_412_612_096,1_383_079_936,pipeline.run after initial_seed_balancing,0,2025/08/24 23:02:39.182909
MainProcess,21108,1_412_677_632,1_412_677_632,1_383_079_936,pipeline.run_model meta_control_factoring start,0,2025/08/24 23:02:39.220191
MainProcess,21108,1_413_230_592,1_413_230_592,1_384_488_960,pipeline.run_model meta_control_factoring finished,0,2025/08/24 23:02:39.357503
MainProcess,21108,1_414_168_576,1_414_168_576,1_384_525_824,pipeline.run after meta_control_factoring,0,2025/08/24 23:02:39.407436
MainProcess,21108,1_414_201_344,1_414_201_344,1_384_525_824,pipeline.run_model final_seed_balancing start,0,2025/08/24 23:02:39.453213
MainProcess,21108,1_375_096_832,1_375_096_832,1_263_603_712,pipeline.run_model final_seed_balancing finished,0,2025/08/24 23:07:30.030917
MainProcess,21108,1_376_022_528,1_376_022_528,1_266_057_216,pipeline.run after final_seed_balancing,0,2025/08/24 23:07:30.097070
MainProcess,21108,1_376_022_528,1_376_022_528,1_266_057_216,pipeline.run_model integerize_final_seed_weights start,0,2025/08/24 23:07:30.134531
MainProcess,21108,1_388_462_080,1_388_462_080,1_274_331_136,pipeline.run_model integerize_final_seed_weights finished,0,2025/08/24 23:07:44.334809
MainProcess,21108,1_388_371_968,1_388_371_968,1_273_237_504,pipeline.run after integerize_final_seed_weights,0,2025/08/24 23:07:44.433777
MainProcess,21108,1_388_371_968,1_388_371_968,1_273_237_504,pipeline.run_model sub_balancing.geography=TAZ start,0,2025/08/24 23:07:44.479099
MainProcess,21108,2_169_016_320,2_169_016_320,2_054_545_408,pipeline.run_model sub_balancing.geography=TAZ finished,0,2025/08/25 02:28:46.128776
MainProcess,21108,2_171_486_208,2_171_486_208,2_056_007_680,pipeline.run after sub_balancing.geography=TAZ,0,2025/08/25 02:28:47.788004
MainProcess,21108,2_171_486_208,2_171_486_208,2_056_007_680,pipeline.run_model sub_balancing.geography=MAZ start,0,2025/08/25 02:28:47.826995
MainProcess,21108,5_714_305_024,5_714_305_024,5_729_406_976,pipeline.run_model sub_balancing.geography=MAZ finished,0,2025/08/25 05:54:12.965267
MainProcess,21108,226_205_696,226_205_696,225_591_296,pipeline.run after sub_balancing.geography=MAZ,0,2025/08/25 05:55:16.462376
MainProcess,21108,232_759_296,232_759_296,226_553_856,pipeline.run_model expand_households start,0,2025/08/25 05:55:16.527855
MainProcess,21108,396_333_056,396_333_056,390_754_304,pipeline.run_model expand_households finished,0,2025/08/25 05:55:17.764061
MainProcess,21108,396_697_600,396_697_600,391_110_656,pipeline.run after expand_households,0,2025/08/25 05:55:18.155908
MainProcess,21108,396_705_792,396_705_792,391_118_848,pipeline.run_model summarize start,0,2025/08/25 05:55:18.177040
MainProcess,21108,931_364_864,931_364_864,727_584_768,pipeline.run_model summarize finished,0,2025/08/25 06:50:16.118188
MainProcess,21108,967_798_784,967_798_784,761_675_776,pipeline.run after summarize,0,2025/08/25 06:50:16.878377
MainProcess,21108,968_667_136,968_667_136,761_946_112,pipeline.run_model write_tables start,0,2025/08/25 06:50:16.961299
MainProcess,21108,1_128_079_360,1_128_079_360,923_258_880,pipeline.run_model write_tables finished,0,2025/08/25 06:50:23.347779
MainProcess,21108,1_128_099_840,1_128_099_840,923_279_360,pipeline.run after write_tables,0,2025/08/25 06:50:23.393761
MainProcess,21108,1_128_099_840,1_128_099_840,923_279_360,pipeline.run_model write_synthetic_population start,0,2025/08/25 06:50:23.453617
MainProcess,21108,2_391_859_200,2_391_859_200,2_136_047_616,pipeline.run_model write_synthetic_population finished,0,2025/08/25 06:52:13.462832
MainProcess,21108,2_391_863_296,2_391_863_296,2_136_051_712,pipeline.run after write_synthetic_population,0,2025/08/25 06:52:13.577093
MainProcess,21108,2_391_863_296,2_391_863_296,2_136_051_712,pipeline.run after run_models,0,2025/08/25 06:52:13.651454
