control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_balanced_weight,TAZ_integer_weight,MAZ_balanced_weight,MAZ_integer_weight
numhh_gq,61217,61215.281158656515,61215.28538065667,61217.0,61215.28538065667,61217,61215.28538065667,61217
gq_pop,5172,0.0,0.0,0.0,0.0,0,0.0,0
gq_military,0,0.0,0.0,0.0,0.0,0,0.0,0
gq_university,620,0.0,0.0,0.0,0.0,0,0.0,0
gq_other,4552,0.0,0.0,0.0,0.0,0,0.0,0
hh_size_1,12705,16897.05852999061,16982.682790994622,16983.0,16982.682790994622,16939,16982.682790994622,16965
hh_size_2,17820,22217.805947938537,22244.775849408074,22246.0,22244.77584940807,22249,22244.77584940807,22227
hh_size_3,7408,8841.247430408159,8814.150296387124,8814.0,8814.150296387124,8819,8814.150296387124,8813
hh_size_4_plus,12187,13259.169250319213,13173.67644386685,13174.0,13173.67644386685,13210,13173.67644386685,13212
hh_inc_30,10947,13378.968366149855,13387.82701307365,13388.0,13387.827013073653,13378,13387.827013073653,13389
hh_inc_30_60,9900,12092.281324151656,12097.788442476394,12098.0,12097.788442476394,12082,12097.788442476394,12089
hh_inc_60_100,6459,7888.2747517009575,7889.835192043591,7890.0,7889.835192043591,7910,7889.835192043591,7869
hh_inc_100_plus,22818,27855.756716654054,27839.834733063028,27841.0,27839.834733063035,27847,27839.83473306303,27870
hh_wrks_0,13247,16412.26967072404,16867.61797744774,16868.0,16867.617977447742,16882,16867.617977447742,16887
hh_wrks_1,17100,21463.18115313123,21468.733015084406,21469.0,21468.73301508441,21439,21468.73301508441,21442
hh_wrks_2,14956,18512.381005447558,18067.308874021688,18068.0,18067.308874021688,18055,18067.308874021688,18048
hh_wrks_3_plus,4827,4827.449329353694,4811.625514102828,4812.0,4811.625514102828,4841,4811.625514102828,4840
pers_age_00_19,30346,30372.273063945282,30374.051207666424,30375.0,30374.051207666424,30407,30374.051207666424,30488
pers_age_20_34,24405,26189.04471117767,26009.986905436035,26011.0,26009.98690543603,26050,26009.98690543603,26013
pers_age_35_64,53390,57852.98480996038,57766.19358197257,57767.0,57766.193581972584,57817,57766.193581972584,57815
pers_age_65_plus,28037,30397.62786254753,30548.253398829485,30549.0,30548.25339882949,30566,30548.25339882949,30552
hh_kids_yes,14471,17604.62998369711,17600.29831101393,17601.0,17600.29831101393,17584,17600.29831101393,17621
hh_kids_no,35650,43610.6511749594,43614.987069642746,43616.0,43614.98706964274,43633,43614.98706964274,43596
pers_occ_management,9298,17383.34238345386,10853.817814621869,10855.0,10853.817814621867,10870,10853.817814621867,10866
pers_occ_professional,15300,18156.74001773786,17374.7853904943,17376.0,17374.785390494297,17388,17374.785390494297,17381
pers_occ_services,14844,12244.172236453602,16363.089735932477,16363.0,16363.089735932479,16394,16363.089735932479,16385
pers_occ_retail,11010,13167.302167222866,12057.677750102974,12057.0,12057.677750102974,12068,12057.677750102974,12086
pers_occ_manual_military,17707,13463.168115692386,18345.99897455496,18347.0,18345.99897455496,18358,18345.99897455496,18350
