MAZ,num_hh,gq_pop,gq_military,gq_university,gq_other,MAZ_ID
10001.0,62,0,0,0,0,10001
10002.0,72,0,0,0,0,10002
10003.0,78,0,0,0,0,10003
10004.0,81,0,0,0,0,10004
10005.0,70,0,0,0,0,10005
10006.0,108,0,0,0,0,10006
10007.0,197,0,0,0,0,10007
10009.0,45,0,0,0,0,10009
10012.0,341,0,0,0,0,10012
10017.0,0,0,0,0,0,10017
10018.0,0,0,0,0,0,10018
10021.0,10,40,0,0,40,10021
10022.0,35,19,0,0,19,10022
10023.0,16,0,0,0,0,10023
10024.0,58,0,0,0,0,10024
10025.0,31,0,0,0,0,10025
10030.0,216,0,0,0,0,10030
10038.0,702,128,0,0,128,10038
10039.0,93,0,0,0,0,10039
10044.0,57,0,0,0,0,10044
10045.0,62,0,0,0,0,10045
10047.0,63,0,0,0,0,10047
10048.0,82,0,0,0,0,10048
10049.0,68,0,0,0,0,10049
10052.0,25,0,0,0,0,10052
10053.0,29,11,0,0,11,10053
10054.0,59,0,0,0,0,10054
10055.0,58,5,0,0,5,10055
10056.0,469,0,0,0,0,10056
10060.0,0,0,0,0,0,10060
10062.0,52,0,0,0,0,10062
10063.0,32,0,0,0,0,10063
10064.0,0,0,0,0,0,10064
10065.0,8,0,0,0,0,10065
10071.0,38,0,0,0,0,10071
10072.0,35,0,0,0,0,10072
10073.0,79,0,0,0,0,10073
10074.0,147,0,0,0,0,10074
10075.0,118,103,0,0,103,10075
10076.0,11,0,0,0,0,10076
10077.0,102,0,0,0,0,10077
10078.0,1,0,0,0,0,10078
10079.0,284,0,0,0,0,10079
10084.0,48,14,0,0,14,10084
10086.0,0,0,0,0,0,10086
10087.0,0,7,0,0,7,10087
10094.0,100,0,0,0,0,10094
10098.0,97,0,0,0,0,10098
10099.0,74,0,0,0,0,10099
10101.0,71,0,0,0,0,10101
10102.0,102,0,0,0,0,10102
10104.0,44,0,0,0,0,10104
10107.0,97,1,0,0,1,10107
10109.0,101,9,0,0,9,10109
10110.0,342,0,0,0,0,10110
10111.0,164,0,0,0,0,10111
10112.0,133,0,0,0,0,10112
10114.0,84,0,0,0,0,10114
10116.0,114,0,0,0,0,10116
10117.0,423,0,0,0,0,10117
10119.0,93,0,0,0,0,10119
10122.0,112,0,0,0,0,10122
10123.0,0,8,0,0,8,10123
10124.0,25,0,0,0,0,10124
10125.0,55,11,0,0,11,10125
10127.0,200,0,0,0,0,10127
10128.0,338,0,0,0,0,10128
10130.0,0,0,0,0,0,10130
10133.0,73,0,0,0,0,10133
10137.0,247,22,0,0,22,10137
10138.0,443,13,0,0,13,10138
10140.0,181,0,0,0,0,10140
10141.0,121,13,0,0,13,10141
10142.0,169,0,0,0,0,10142
10143.0,186,0,0,0,0,10143
10144.0,4,21,0,0,21,10144
10147.0,549,0,0,0,0,10147
10150.0,73,0,0,0,0,10150
10151.0,0,0,0,0,0,10151
10153.0,0,0,0,0,0,10153
10157.0,154,0,0,0,0,10157
10159.0,3,1,0,0,1,10159
10160.0,172,0,0,0,0,10160
10161.0,155,0,0,0,0,10161
10162.0,184,0,0,0,0,10162
10163.0,107,0,0,0,0,10163
10164.0,73,0,0,0,0,10164
10165.0,144,0,0,0,0,10165
10167.0,179,0,0,0,0,10167
10168.0,96,0,0,0,0,10168
10169.0,67,0,0,0,0,10169
10170.0,0,5,0,0,5,10170
10172.0,211,0,0,0,0,10172
10173.0,112,0,0,0,0,10173
10179.0,188,0,0,0,0,10179
10180.0,62,0,0,0,0,10180
10181.0,64,0,0,0,0,10181
10184.0,36,0,0,0,0,10184
10185.0,2,68,68,0,0,10185
10186.0,0,0,0,0,0,10186
10187.0,133,0,0,0,0,10187
10190.0,70,0,0,0,0,10190
