id,total_pop_control,total_pop_result,total_pop_diff,total_pop_pct_error
1,1387.0,1075,-312.0,-22.49459264599856
2,2109.0,2241,132.0,6.258890469416785
3,2562.0,2527,-35.0,-1.366120218579235
4,1377.0,2130,753.0,54.68409586056645
5,1398.0,1387,-11.0,-0.7868383404864091
6,1064.0,473,-591.0,-55.545112781954884
7,907.0,1117,210.0,23.15325248070562
8,902.0,881,-21.0,-2.328159645232816
9,940.0,1028,88.0,9.361702127659575
10,1051.0,1126,75.0,7.1360608943863
11,1306.0,899,-407.0,-31.16385911179173
12,849.0,818,-31.0,-3.651354534746761
13,1882.0,2029,147.0,7.810839532412326
14,1404.0,1664,260.0,18.51851851851852
15,987.0,1142,155.0,15.704154002026344
16,1850.0,1969,119.0,6.432432432432432
17,2241.0,2406,165.0,7.362784471218206
18,1790.0,2223,433.0,24.18994413407821
19,1718.0,1622,-96.0,-5.587892898719441
20,1437.0,1280,-157.0,-10.925539318023661
21,1061.0,1348,287.0,27.04995287464656
22,758.0,636,-122.0,-16.094986807387862
23,773.0,904,131.0,16.946959896507117
24,995.0,1044,49.0,4.924623115577889
25,1119.0,1444,325.0,29.0437890974084
26,532.0,669,137.0,25.75187969924812
27,4388.0,5035,647.0,14.744758432087512
28,1664.0,1239,-425.0,-25.540865384615387
29,929.0,885,-44.0,-4.736275565123789
30,417.0,641,224.0,53.71702637889688
31,922.0,1678,756.0,81.99566160520607
32,844.0,866,22.0,2.6066350710900474
33,1201.0,1434,233.0,19.40049958368027
34,1385.0,1351,-34.0,-2.454873646209386
35,2431.0,2466,35.0,1.439736733854381
36,2258.0,2336,78.0,3.454384410983171
37,1528.0,1805,277.0,18.1282722513089
38,3147.0,3483,336.0,10.676835081029552
39,1178.0,1038,-140.0,-11.884550084889643
40,1512.0,1833,321.0,21.23015873015873
41,962.0,1274,312.0,32.432432432432435
42,2262.0,2140,-122.0,-5.393457117595048
43,1120.0,1373,253.0,22.589285714285715
44,955.0,2117,1162.0,121.67539267015708
45,1252.0,1270,18.0,1.4376996805111821
46,811.0,1101,290.0,35.75832305795315
47,1144.0,1099,-45.0,-3.9335664335664338
48,867.0,751,-116.0,-13.379469434832755
49,784.0,1154,370.0,47.19387755102041
50,1181.0,1233,52.0,4.403048264182896
51,1222.0,877,-345.0,-28.23240589198036
52,844.0,909,65.0,7.701421800947868
53,970.0,935,-35.0,-3.608247422680412
54,1237.0,1202,-35.0,-2.8294260307194827
55,1211.0,1146,-65.0,-5.367464905037159
56,1736.0,1888,152.0,8.755760368663594
57,861.0,790,-71.0,-8.246225319396052
58,1428.0,1333,-95.0,-6.652661064425771
59,1232.0,1269,37.0,3.0032467532467533
60,1662.0,1205,-457.0,-27.496991576413958
61,556.0,790,234.0,42.086330935251794
62,1346.0,1100,-246.0,-18.27637444279346
63,1130.0,992,-138.0,-12.212389380530974
64,817.0,1188,371.0,45.41003671970624
65,1943.0,2163,220.0,11.32269686052496
66,618.0,760,142.0,22.97734627831715
67,1360.0,1310,-50.0,-3.6764705882352944
68,1588.0,1217,-371.0,-23.362720403022667
69,934.0,1027,93.0,9.957173447537473
70,875.0,752,-123.0,-14.057142857142857
71,2221.0,2029,-192.0,-8.64475461503827
72,1824.0,1956,132.0,7.236842105263158
73,1664.0,1247,-417.0,-25.060096153846157
74,702.0,700,-2.0,-0.2849002849002849
75,1477.0,1130,-347.0,-23.493568043331077
76,2680.0,1759,-921.0,-34.365671641791046
77,301.0,157,-144.0,-47.840531561461795
78,489.0,445,-44.0,-8.997955010224949
79,1290.0,1311,21.0,1.627906976744186
81,4836.0,4682,-154.0,-3.184449958643507
82,1010.0,1063,53.0,5.247524752475248
83,1179.0,1122,-57.0,-4.8346055979643765
84,1114.0,2532,1418.0,127.2890484739677
85,964.0,1887,923.0,95.74688796680498
